电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名
吹响悠风号剧场版：欢迎来到北宇治高中吹奏乐部,石原立也,花田十辉/武田绫乃,黑泽朋世/朝井彩加/丰田萌绘/安济知佳/寿美菜子/早见沙织/茅原实里/石谷春贵/樱井孝宏,剧情/喜剧/动画/音乐,日本,日语,2016-04-23(日本),103分钟,剧场版吹响！上低音号～欢迎来到北宇治高中吹奏乐部～
大宅门,郭宝昌,郭宝昌,斯琴高娃/陈宝国/刘佩琦/蒋雯丽/何赛飞,剧情/爱情/传记,中国大陆,汉语普通话,2003,115分钟,大宅门电影版
升空号,阿基·考里斯马基,阿基·考里斯马基,图罗·帕亚拉/苏珊娜·哈维斯托/马蒂·佩龙帕,剧情/喜剧/爱情/犯罪,芬兰,芬兰语,1988-10-21(芬兰),73分钟,精灵
儿子,山田洋次,朝间义隆/山田洋次/椎名诚,三国连太郎/永濑正敏/和久井映见/原田美枝子/田中隆三/浅田美代子/山口良一/浅利香津代/高峰凯希/浜村淳/梅津荣/井上千蔵/中本贤/小仓一郎/村田正雄/松村达雄/中村芽衣子/音无美纪子/奈良冈朋子/佐藤B作/碇矢长介/田中邦卫,剧情/喜剧/爱情/家庭,日本,日语,1991-10-12(日本),121分钟,Musuko/MySons
力争上游,詹姆斯·布里奇斯,詹姆斯·布里奇斯/小约翰·杰伊·奥斯本,蒂姆斯·伯特姆斯/林赛·瓦格纳/詹姆斯·诺顿/爱德华·赫曼/大卫·科列侬/约翰·豪斯曼/格拉汉姆·贝克尔/克雷格·理查德·纳尔逊/RobertLydiard/伦尼·贝克/莉贾娜·芭芙/布莱尔·布朗,剧情,美国,英语,1973-10-16,113分钟,平步青云/纸追/寒窗恋
羞耻,英格玛·伯格曼,英格玛·伯格曼,丽芙·乌曼/马克斯·冯·叙多夫/西格·菲尔斯特/古纳尔·布约恩施特兰德/贝吉塔·瓦尔堡/汉斯·艾尔佛森/英瓦尔·谢尔松/弗兰克·松德斯特伦/乌尔夫·约翰松/维尔戈特·斯耶曼/本特·埃克隆德/约斯塔·普吕塞柳斯/维利·彼得斯/芭布洛·约尔特·阿夫·奥纳斯/阿格达·海林,剧情/战争,瑞典,瑞典语,1968-09-29(瑞典),103分钟,Shame
超豪华！！最初也是最后的大同窗会！8时J,,,泷泽秀明/山下智久/生田斗真/风间俊介/长谷川纯/大野智/樱井翔/相叶雅纪/二宫和也/松本润/村上信五/横山裕/锦户亮/丸山隆平/安田章大/大仓忠义,真人秀/脱口秀,日本,日语,2018-12-29(日本),90分钟,杰尼斯超豪华！！最初也是最后的大同窗会
另一个女人,伍迪·艾伦,伍迪·艾伦,吉娜·罗兰兹/米亚·法罗/伊安·霍姆/布莱思·丹纳/吉恩·哈克曼,剧情,美国,英语,1988-11-18,81分钟,缘尽半生
新世纪福音战士 第0:0话 诞生之始,庵野秀明HideakiAnno,庵野秀明,绪方惠美/林原惠美/三石琴乃/宫村优子,剧情/科幻/动画,日本,日语,1995-12-21(日本),29分钟,新世纪福音战士第0:0话起始/NeonGenesisEvangelionGenesis0:0IntheBeginning
漩涡之外,雅克·特纳,丹尼尔·梅因沃林,罗伯特·米彻姆/简·格里尔/柯克·道格拉斯/朗达·弗莱明,剧情/惊悚/黑色电影,美国,英语/美国手语,1947-11-13,97分钟,来自过去/BuildMyGallowsHigh
推销员之死,沃尔克·施隆多夫,阿瑟·米勒,达斯汀·霍夫曼/凯特·瑞德/约翰·马尔科维奇/史蒂芬·朗/查尔斯·德恩,剧情,美国/原西德,英语,1985-09-14,136分钟,
人间的条件(第五、六部),小林正树,松山善三/小林正树/五味川纯平/稻垣公一,仲代达矢/新珠三千代/高峰秀子/中村玉绪/笠智众/川津祐介/内藤武敏/瞳丽子/岸田今日子/金子信雄/须贺不二男/KeijiroMorozumi,剧情/历史/战争,日本,日语/汉语普通话/俄语,1961-01-28,190分钟/WestGermany:143分钟,何以为人(第五、六部)/做人的条件/TheHumanConditionV-VI
词语,卡尔·西奥多·德莱叶,卡尔·西奥多·德莱叶/卡伊·蒙克,HanneAgesen/KirstenAndreasen/SylviaEckhausen,剧情,丹麦,丹麦语,1955-01-10,126分钟,神喻/诺言/TheWord
绿地黄花,武国越,越灵,陈盛荣/裴仲康/清美/美安/梅世侠/乐永/张秀莲/陈迈,剧情/儿童,越南,越南语,2015-10-02(越南),103分钟,青草上我见到金花/我看见黄花在青草中摇曳/花黄草绿/DearBrother/YellowFlowersontheGreenGrass
化身博士,鲁本·马莫利安,PercyHeath/罗伯特·路易斯·史蒂文森/SamuelHoffenstein,弗雷德里克·马奇/米利亚姆·霍普金斯/罗丝·霍巴德,剧情/科幻/恐怖,美国,英语,1932-01-02,98分钟/96分钟(TCMprint),
小树的故事,理查德·弗雷登伯格,DonSipes/小厄尔·哈姆纳/福里斯特·卡特,约瑟夫·阿什顿/詹姆斯·克伦威尔/坦图·卡丁诺/米卡·波瑞姆/格雷厄姆·格林/ChristopherHeyerdahl,剧情,加拿大,英语,1997-12-25,Argentina:116分钟/USA:112分钟,少年小树之歌
迪迦&戴拿&盖亚·奥特曼 超时空的大决戦,小中和哉,长谷川圭一,吉冈毅志/滨田岳,科幻/冒险,日本,日语,1998-03-06(日本),74分钟,奥特曼超时空大决战/UrutoramanTeiga&UrutoramanDaina&UrutoramanGaia:Choujikuunodaiketsugeki/UltramanTiga&UltramanDyna&UltramanGaia:BattleinHyperspace
饥饿海峡,内田吐梦,铃木尚之,三国连太郎/左幸子/高仓健/加藤武/室田日出男,剧情/悬疑/犯罪,日本,日语,1965-01-15(日本),183分钟/167分钟(剪辑版),StraitofHunger/AFugitivefromthePast
笔中情,颜碧丽,蒋迅,迟重瑞/王伯昭/张闽/赵静/朱碧云,剧情/动作/爱情/古装,中国大陆,普通话,1982(中国大陆),96分钟,RomanceOfACalligrapher
熊猫的故事,岛村达雄,山田洋次,丁健华/刘广宁/童自荣,动画,日本/中国大陆,日语,1981-12-28(日本),88分钟,TheStoryofPandaTaotao
阿尔卡特兹的养鸟人,约翰·弗兰克海默,盖伊·特鲁斯佩尔,伯特·兰卡斯特/卡尔·莫尔登/瑟尔玛·瑞特/内维尔·布兰德/贝蒂·菲尔德,剧情/传记,美国,英语,1962-07-03,147分钟,终身犯
残菊物语,沟口健二,川口松太郎/依田义贤/村松梢风,花柳章太郎/森赫子/高田浩吉/高松锦之助/河原崎权十郎/志贺迺家辨庆/结城一朗/花冈菊子/伏见信子/富本民平,剧情,日本,日语,1939-10-10(日本),142分钟/Argentina:145分钟/USA:148分钟,TheStoryoftheLastChrysanthemums/Zangikumonogatari
鲁邦三世：血烟的石川五右卫门,小池健,高桥悠也,浪川大辅/栗田贯一/泽城美雪/小林清志/山寺宏一/土师孝也,动作/动画,日本,日语,2017-02-04(日本),53分钟,
疤面人,霍华德·霍克斯/理查德·罗森,本·赫克特/塞腾·艾·米勒,保罗·穆尼/乔治·拉夫特/卡伦·莫利/安·德拉克,剧情/动作/犯罪/黑色电影,美国,英语/意大利语,1932-04-09,93分钟,"伤面人/伤疤脸/疤面煞星/Scarface,theShameoftheNation/TheShameofaNation"
请问您今天要来点兔子吗 剧场版,桥本裕之,桥本裕之,佐仓绫音/水濑祈/种田梨沙/佐藤聪美/内田真礼/德井青空/村川梨衣/早见沙织/茅野爱衣/清川元梦/速水奖/东地宏树/皆口裕子/木村珠莉/所河瞳/赤尾光/小原好美,喜剧/动画,日本,日语,2017-11-11(日本),60分钟,请问您今天要来点兔子吗剧场OVA/请问您今天要来点兔子吗？？～DearMySister～
鲁邦三世：次元大介的墓碑,小池健,高橋悠也,栗田贯一/小林清志/泽城美雪/山寺宏一/广濑彰勇,动作/动画/犯罪,日本,日语,2014-06-21(日本),51分钟,鲁邦三世：次元大介的墓标
受影响的女人,约翰·卡萨维蒂,约翰·卡萨维蒂,彼得·法尔克/吉娜·罗兰兹/弗雷德·德雷珀,剧情/爱情,美国,英语/意大利语,1974-11-18,155分钟,受感化的妇人/权势下的女人
焦点新闻,科斯塔-加夫拉斯,豪尔赫·森普伦/瓦西利斯·瓦西利科斯,伊夫·蒙当/艾琳·帕帕斯/让-路易·特兰蒂尼昂/雅克·贝汉,剧情/历史/犯罪,阿尔及利亚/法国,法语,1969-02-26,127分钟,大风暴/Z先生/一桩政治凶杀案的剖析
天堂孤影,阿基·考里斯马基,阿基·考里斯马基,马蒂·佩龙帕/卡蒂·奥廷宁/萨卡里·库斯曼嫩,喜剧/爱情,芬兰,芬兰语,1986-10-17,USA:76分钟,ShadowsinParadise
首演之夜,约翰·卡萨维蒂,约翰·卡萨维蒂,吉娜·罗兰兹/约翰·卡萨维蒂/本·戈扎那,剧情,美国,英语,1977-12-22,144分钟,夜无边
幽灵马车,维克多·斯约斯特洛姆,维克多·斯约斯特洛姆/塞尔玛·拉格洛夫,维克多·斯约斯特洛姆/希尔达·博里斯特伦/托雷·斯文贝里/阿斯特里德·霍尔姆/康科迪娅·塞兰德/托尔·魏登/埃纳尔·阿克塞尔松/奥洛夫·奥斯/尼尔斯·阿雷恩/尼尔斯·埃尔夫斯/希尔杜·利特曼/约翰·埃克曼,剧情/恐怖/奇幻,瑞典,瑞典语,1921-01-01,93分钟/Germany:100分钟/Sweden:107分钟(16fps)(2004TVversion)/103分钟(originalrelease)(18fps),灵幻马车/ThePhantomCarriage
待客之道,约翰·G·布莱斯通/巴斯特·基顿,让·C·阿韦/克莱德·布鲁克曼,巴斯特·基顿/乔·罗伯茨/MonteCollins/小巴斯特·基顿/乔·基顿,喜剧/家庭,美国,英语,1923-11-19,73分钟(1995alternateversion)/Spain:65分钟/Belgium:87分钟(copywithFrenchtitlesatBrusselsMuséeduCinéma),我们的款待
纳什维尔,罗伯特·奥特曼,琼·图克斯伯里,大卫·阿金/芭芭拉·巴斯里/尼德·巴蒂/凯伦·布莱克/罗尼·布莱克利/蒂莫西·布朗/基思·卡拉丹/杰拉丁·卓别林/罗伯特·多奎/谢莉·杜瓦尔/艾伦·加菲尔德/亨利·吉布森/斯科特·格伦/杰夫·高布伦/芭芭拉·哈里斯/莉莉·汤姆林,剧情/音乐,美国,英语,1975-06-11,159分钟,普世欢腾乐满城/纳斯维尔
五月碧云天,努里·比格·锡兰,努里·比格·锡兰,伊敏·托普拉克/穆扎菲·奥德默/FatmaCeylan,剧情/喜剧,土耳其,土耳其语,1999-12-10,130分钟,CloudsofMay/Mayissikintisi
伸张正义,诺曼·杰威森,瓦勒里·科廷/巴瑞·莱文森,阿尔·帕西诺/杰克·瓦尔登/约翰·福赛思/李·斯特拉斯伯格/杰弗里·塔伯/克里斯汀·拉蒂/山姆莱文/罗伯特克里斯蒂安/托马斯沃特斯/拉里·布里格曼/格雷格·T·尼尔森/多米尼克·查尼斯/维克多·阿诺德/文森特贝克/迈克尔·戈林,剧情/惊悚/犯罪,美国,英语,1980-10-09,119分钟,义勇急先锋/真相
我的上高,钱泠泠,方天民,田小洁/耿黎明/易勇名/朴俊铭/张宇飞,剧情/战争,中国大陆,汉语普通话,2017-03-08(中国大陆),100分钟,TheOldDayinShanggao
吹响悠风号剧场版：想要传达的旋律,石原立也/小川太一,花田十辉,黑泽朋世/朝井彩加/丰田萌绘/安济知佳/寿美菜子/早见沙织/茅原实里/石谷春贵/沼仓爱美/樱井孝宏,剧情/动画,日本,日语,2017-09-30(日本),105分钟,剧场版吹响！上低音号～想要传达的旋律～
代号基亚斯：反叛的鲁路修3之皇道,谷口悟朗,大河内一楼/谷口悟朗,福山润/樱井孝宏/野上尤加奈/小清水亚美/名塚佳织/绿川光/金井美香/伊藤沙织/高田裕司/真殿光昭/仓田雅世/桧山修之/私市淳/加濑康之/水岛大宙/成田剑/千叶纱子/白鸟哲/井上喜久子/新井里美/大原沙耶香/折笠富美子/杉山纪彰/保志总一朗/后藤邑子/井上伦宏/三户耕三/内田聪明/中田让治/皆川纯子/幸野善之/渡边明乃/山野井仁/河城英之介/百百麻子/若本规夫,动作/科幻/动画,日本,日语,2018-05-26(日本),140分钟,CodeGeass:HangyakunoLelouchIII-Oudou
英伦性丑闻,PatrickReams,PatrickReams,尼古拉斯·勒·普雷沃斯特/HarrietEastcott/萨姆·修汉/卡尔·戴维斯/RogerBarclay/OrlandoWells/威廉·丘布/理查德·林特恩/KevinColson/罗杰·阿什顿-格里菲斯/SusanJameson/斯蒂文·麦金托什,剧情/同性,英国,英语,2007-07-21(英国),85分钟,
阿弥陀堂讯息,小泉尧史,小泉尧史,寺尾聪/樋口可南子/井川比佐志/香川京子/北林谷荣/小西真奈美/田村高广/吉冈秀隆,剧情,日本,日语,2002-10-05,127分钟,LetterfromtheMountain
等待戈多,MichaelLindsay-Hogg,塞缪尔·贝克特,巴里·麦戈文/JohnnyMurphy/AlanStanford/StephenBrennan/SamMcGovern,剧情,爱尔兰,英语,2001-02-04,120分钟,等待果陀（台）
