电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
童使,清水崇,BrazilyAnneYamada/清水崇,泷泽秀明/有冈大贵/门胁麦,恐怖,日本,日语,2017-06-17(日本),111分钟,操控孩童/死小孩(台)/LittleNightmares,tt5856116
鬼哭神嚎：觉醒,弗兰克·卡方,弗兰克·卡方,贝拉·索恩/卡梅隆·莫纳汉/詹妮弗·杰森·李/泰勒·斯波瑞特勒/托马斯·曼/麦肯娜·格瑞丝/DanMartino/HunterGoligoski/BrianBreiter,惊悚/恐怖,美国,英语,2017-06-30(美国),87分钟,鬼哭神嚎：遗失的录影带/鬼杀人：苏醒/TheAmityvilleHorror:TheLostTapes/阴宅2(台),tt1935897
末世家园,MikeP.Nelson,MikeP.Nelson,泰勒·霍奇林/凯特·波茨沃斯/水野索诺娅/兰斯·莱迪克/大卫·达斯马齐连/丹娜·格瑞尔/劳拉·凯洛蒂/兰斯·E·尼克尔斯/杰夫·蔡斯/布拉德·利兰/戴夫·戴维斯/大卫·詹森/托马斯·弗兰西斯·墨菲/MikeP.Nelson/吉姆·格里森/戴恩·罗兹/JacinteBlankenship/埃迪·马休斯/MaryAliceRisener/NinaLeon/DillonAhlf/阿尔·维森特/JarenMitchell/OscarGale/StevenGrossman/LeePerkins/DevenMacNair/KadenWashingtonLewis/ParisHepburn/TimBell/MikeMayhall/索菲娅·罗萨莱斯/JoshDiogo/ErikSchultz/马蒂·费拉罗/MartinCovert/RichardHolden/TonyBeard/MarkYawn/尼古拉斯帕森斯/HugoChristian/JesseYarborough/JosephAngelette/AustinSeifert/LondonCurtis/CadenSwain/AnitraConnor/AnthonyBarbier/OliviaWeaver/EllyHebert/AvaAlyseAnthony/MichaelCampbell/MadisonKneiss,惊悚/恐怖,美国,,2018-06-29(美国),95分钟,末世国货,tt5591666
刑罚,泽维尔·吉恩斯,查德·海斯/凯利·海斯,索菲·库克森/布列塔尼·阿什沃思/拉杜·班泽鲁/哈维尔·博泰特/AlexisRodney/拉杜·安德烈·米库/伊凡·冈萨雷斯/奥利维娅·尼察,悬疑/惊悚/恐怖,美国/英国/罗马尼亚,英语,2017-07-01(印度尼西亚)/2017-10-06(美国),90分钟,虐灵者(港)/刑弑厉(台),tt4181782
蛰伏,JonathanHopkins,RichardHobley/JonathanHopkins,李美琪/西尔维斯特·迈可伊/威尔·坎普/威廉·霍普/山姆·特劳顿/马克·普雷斯顿/文森特·阿德里安/克丽丝滕·布什,恐怖,英国/美国,英语,2017-12-01(英国),,鬼壓床,tt5181852
鸡皮疙瘩2：闹鬼万圣节,阿里·桑德尔,罗伯·列博/R·L·斯坦,温迪·麦克伦登-考威/麦迪森·伊瑟曼/杰里米·雷·泰勒/郑肯/卡里尔·哈里斯/杰克·布莱克/克里斯·帕内尔/布赖斯·卡斯/佩顿·威奇/沙里·海德利/克里斯蒂安·芬拉森/马修·J·瓦斯奎斯/考特尼·劳伦·卡明斯/洁西·高伊/肯德里克·克罗斯/R·L·斯坦/米克·温格特/达林·德·保罗/肖恩·麦克米伦/帕蒂·舍尔哈斯,喜剧/恐怖/奇幻/冒险,美国,英语,2018-10-12(美国),90分钟,毛骨悚然2/Goosebumps2/Goosebumps:Horrorland/书中自有魔怪谷2：翻生万圣节(港),tt5664636
吸血粘土,梅沢壮一,梅沢壮一,武田杏香/杉本桃花/藤田恵名/牧原ゆゆ/篠田諒/津田宽治/黑泽明日香,恐怖,日本,日语,2017-08-19(日本),80分钟,大陶杀(港)/吸血人偶/Chiosûnendo/VampireClay,tt7026370
食人之饥,RobinAubert,罗宾·奥贝尔,Marc-AndréGrondin/莫妮亚·肖克里/CharlotteSt-Martin,剧情/恐怖,Canada,法语,,104分钟,Ravenous,tt6243140
下课,本杰明·阿尔弗曼,布瑞恩·麦考利,迪伦·斯普罗斯/蕾·格雷/肯特·奥斯博内/艾莉西亚·戴尔莫/米切尔·爱德华兹/维多利亚·泽兹乌斯/克里斯·鲍尔/莱斯丽·瑟斯顿/马修·J·伊万斯/兰道尔·朴/马克·凯利/海伦·索拉娅/罗伯特·朗斯特里特/布鲁克·迪尔曼/珍妮特·摩丝/罗万·史密斯/欧文·达格特/多麦妮·哈维尔,惊悚/恐怖,美国,英语,2017-10-08(圣地亚哥电影节)/2017-11-21(美国视频点播),87分钟,,tt5039994
行监坐守,西恩·卡特,JosephDembner,贝拉·索恩/娜塔丽·马丁内斯/克里斯托弗·杰姆斯·贝克/艾恩·格拉法德/钱德勒·里格斯/雷·沃纳尔/马修·维利希/杰瑞德·亚伯拉汉姆森,惊悚/恐怖,美国,英语,2017-10-31(美国),89分钟,HomeInvasion,tt2531334
