电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
侠探西蒙,厄尼·巴巴拉什,JesseAlexander,艾丽莎·杜什库/托马斯·克莱舒曼/格雷戈·格伦伯格/赛米·汉拉缇/雅尼·吉尔曼/毕崔斯·罗森/恩里克·穆西安诺/伊恩·奥格尔维/亚当·雷纳/杰森·布鲁克斯/克里斯蒂·米切尔/OmidZader/罗曼·米蒂齐扬/SonaliiCastillo/奥利弗·贝尔,动作/犯罪/冒险,美国,英语,2017-07-11(美国),126分钟,,tt2569088
美玉,李安奎,李安奎,金惠秀/李善均/李熙俊/崔武成/吴哈妮/金玟锡,动作/犯罪,韩国,韩语,2017-11-09(韩国),91分钟,珍贵的女人/致命女角头(台)/소중한여인/ASpecialLady,tt7549884
天下第一镖局,陶盟喜,张家进,樊少皇/车永莉/释彦能/施南/吕良伟/陈之辉/史洪波/巴多/王海祥/徐冬梅/容尔甲/孙明明/李炳雷/答有为/连凯/周浩东/卢惠光/陈超/梁家仁/张宝雯/李炳渊/李长海/张家荣/张衡/李沛泽/田雨晴/陶日金/蒋列/胡蓉蓉/张佳维/金博涵/何梓铭,动作/古装,中国大陆,汉语普通话,2018-08-24(中国大陆),90分钟,TheBravestEscortGroup,
超人之死,杰克·卡斯托雷纳/刘山姆,彼得·托马西/杰里·西格尔/乔·舒斯特/露易丝·西蒙森,杰瑞·奥康奈尔/丽贝卡·罗梅恩/雷恩·威尔森/罗莎里奥·道森/内森·菲利安/克里斯托弗·戈勒姆/马特·兰特尔/谢默·摩尔/耐姆比·耐姆比/杰森·奥玛拉/乔纳森·亚当斯/洛奇·卡罗尔/特雷弗·德瓦/保罗·伊丁/帕特里克·法比安/詹妮弗·黑尔/马克斯·迈特尔曼/托克斯·奥拉贡多耶,动作/科幻/动画,美国,英语,2018-07-24(美国),81分钟,,tt7167658
绅士特工,克里希纳·D·K/拉杰·尼迪莫卢,拉杰·尼迪莫卢/克里希纳·D·K/西塔·梅诺/萨米特·巴特加,施坦·马洛萨/杰奎琳·费南德斯/达山·库马尔/侯赛因·达拉尔/阿米特·米斯特里/拉吉特·卡普尔/苏普丽雅·皮尔加卡尔/桑尼尔·谢迪/沙希德·伍兹/扎卡里·柯芬/库沙·庞加比,喜剧/动作/爱情,印度,印地语,2017-08-25(印度),145分钟,NotBangBang2!/AGentleman,tt5613834
刺杀风云,周天宇,安宕宕/周天宇,吕良伟/杨明逸/周卓/袁千山/张琪/王尧/张宏威/韩龙瑄/徐睦毅/李东海,剧情/动作,中国大陆,汉语普通话/日语,2019-01-19(中国大陆),78分钟,门徒契约/Assassination,
蝙蝠侠与哈莉·奎恩,刘山姆,布鲁斯·提姆/詹姆斯·克里格,凯文·康瑞/梅丽莎·劳奇/帕姬·布鲁斯特/罗伦·莱斯特/凯文·迈克尔·理查德森/艾瑞克·鲍扎/特雷弗·德瓦/约翰·迪·玛吉欧/罗宾·阿特金·唐斯/罗伯·鲍森/明迪·斯特林/布鲁斯·提姆,喜剧/动作/动画/冒险,美国,英语,2017-07-21(圣地亚哥首映)/2017-08-15(美国),74分钟,蝙蝠侠与小丑女,tt6556890
骄傲的玛丽,巴巴克·纳加非,约翰·斯图尔特·纽曼/克里斯蒂安·斯韦加尔/史蒂芬·安汀,塔拉吉·P·汉森/比利·布朗/贾西·迪阿洛·温斯顿/尼尔·麦克唐纳/玛格丽特·艾弗瑞/山德·贝克利/拉德·舍博德兹加/埃里克·拉雷·哈维/丹尼·格洛弗/阿多布勒·艾比阿玛/欧文·伯克/博·克利里/特蕾莎·普雷恩/詹姆斯·麦洛德/亚历克斯·珀腾克/弗拉基米尔·奥尔洛夫/陈大卫/吉姆·福特,动作/惊悚,美国,英语,2018-01-12(美国),89分钟,骄傲玛丽,tt6421110
少年泰坦出击电影版,亚伦·霍瓦斯/皮得·里达·米切尔,亚伦·霍瓦斯/迈克尔·杰勒尼克,尼古拉斯·凯奇/克里斯汀·贝尔/威尔·阿奈特/塔拉·斯特朗/詹姆斯·柯登/卡里·佩顿/格雷格·西佩斯/斯坦·李/哈尔希/吉米·坎摩尔/斯科特·门维尔/海登·瓦尔希/达纳·斯耐德/LilYachty,喜剧/动作/动画,美国,英语,2018-07-27(美国),84分钟,电影少年悍将GO！(台),tt7424200
哥斯拉：噬星者,静野孔文/濑下宽之,虚渊玄,宫野真守/樱井孝宏/花泽香菜/杉田智和/梶裕贵/诹访部顺一/三宅健太/堀内贤雄/中井和哉/山路和弘/早见沙织/上田丽奈/小泽亚李/铃村健一,动作/科幻/动画,日本,日语,2018-11-03(东京电影节)/2018-11-09(日本),90分钟,哥斯拉：喰星者/哥斯拉：行星吞噬者/GODZILLA第三章/Godzilla:ThePlanetEater/Godzilla:EaterofStars,tt8478602
四大名捕之食人梦界,项秋良/项河生,方岚/玄晴/付火,陈子由/刘林城/康宁,动作/奇幻/武侠,中国大陆,汉语普通话,2019-01-04(中国大陆),69分钟,TheFour,
亡命夜驰,杰瑞米·拉什,杰瑞米·拉什,弗兰克·格里罗/加瑞特·迪拉胡特/温迪·莫尼兹/凯特琳·卡迈克尔/约翰·塞纳迭姆博/威廉·泽法尔茨,动作/惊悚,美国,,2017-10-20(美国),82分钟,,tt5723286
外国佬,纳许·埃哲顿,安东尼·塔姆巴基斯/马修·斯通,乔尔·埃哲顿/查理兹·塞隆/大卫·奥伊罗/阿曼达·塞弗里德/坦迪·牛顿/迭戈·卡塔诺/卡洛斯·科罗纳/巴希尔·萨拉赫丁/格伦·久保田/梅罗妮·迪亚兹/哈里·崔德威/西奥·泰普里兹/帕丽斯·杰克逊/尤尔·瓦斯克斯/埃尔南·门多萨/赫克托·科特思法基斯/里卡多·埃斯克拉/阿兰·卢克/肯尼斯·崔/沙尔托·科普雷,喜剧/动作/犯罪,美国/澳大利亚,英语/西班牙语/法语,2018-03-09(美国),111分钟,老板好坏(台)/边个出差咁黑仔？(港)/美国运通/AmericanExpress,tt3721964
牙狼剧场版 - 神之牙,雨宫庆太,雨宫庆太,栗山航/池田纯矢/青木玄德/井上正大/南里美希,动作/奇幻/冒险,日本,日语,2017-10-30(东京电影节)/2018-01-06(日本),96分钟,Garo:Kaminokiba,tt7117354
办公室僵尸起义,林·奥汀,伊恩·肖尔/彼得·甘布尔·罗宾逊,布伦顿·思韦茨/简·拉维/卡兰·索尼/扎克瑞·莱维/格雷格·亨利/柯特·富勒/伊恩·哈丁/巴里·沙巴卡·亨利/阿兰·里奇森/萨姆·戴利/肯尼斯·崔,喜剧/动作/恐怖,美国,英语,2018-06-19(美国),92分钟,办公弑(台),tt6251024
超越边缘,阿列克山大·博古斯拉夫斯基/弗朗西斯科·钦奎马尼,阿列克山大·博古斯拉夫斯基/弗朗西斯科·钦奎马尼,柳波芙·阿克肖诺娃/阿纳斯塔西亚·安尼霍夫斯卡亚/谢尔盖·阿斯塔霍夫/维伦·巴比切夫/安东尼奥·班德拉斯/米洛斯·比柯维奇/尤里·切里辛/叶夫根尼·斯迪查金/佩塔尔·泽卡维卡,动作/奇幻/冒险,俄罗斯,俄语,2018-03-01(俄罗斯),101分钟,BeyondtheEdge/BeyondReality/BeyondtheEdgeofReality/超越边界/超越现实的边缘/超越现实，超越边缘,tt5629524
女黑手党,帕特奇·维加,奥拉夫·奥尔斯泽夫斯基/帕特奇·维加,欧嘉·博拉茨/阿格涅斯卡·戴甘特/亚历山德拉·波夫斯卡/凯莎·沃恩克/茱莉亚·维尼瓦-纳基维奇/杰尼斯·查比尔/赛巴斯汀·法比杰斯基/勃库斯洛·林达/奥拉夫·卢巴申科,剧情/动作/犯罪,波兰,波兰语/英语,2018-02-22(波兰),138分钟,WomenofMafia,tt7372728
超人王朝,刘山姆,詹姆斯·克里格/蒂姆·谢里丹,杰瑞·奥康奈尔/丽贝卡·罗梅恩/雷恩·威尔森/帕特里克·法比安/查尔斯·哈尔福德/卡梅隆·莫纳汉/克莱斯·威廉斯/罗莎里奥·道森/内森·菲利安/克里斯托弗·戈勒姆/谢默·摩尔/耐姆比·耐姆比/杰森·奥玛拉/洛奇·卡罗尔/特雷弗·德瓦/保罗·伊丁/詹妮弗·黑尔/艾丽卡·鲁特雷尔/马克斯·迈特尔曼/托克斯·奥拉贡多耶/托尼·托德/布兰达·斯特朗,动作/科幻/动画,美国,英语,2019-01-10(美国),87分钟,,tt7167686
捷德奥特曼 剧场版：连接吧！心愿！！,坂本浩一,根元歳三/安達寛高,滨田龙臣/山本千寻/长谷川真优/小泽雄太/本仮屋唯佳/青柳尊哉/石黑英雄/小西克幸/三森铃子/潘惠美/浅沼晋太郎/宫野真守/绿川光/神谷浩史/关智一/入野自由/田中秀幸/池田昌子/西冈德马,动作/科幻/动画,日本,日语,2018-03-10(日本),90分钟,ウルトラマンジードUltramanGeed/UltramanGeedTheMovie:I'llConnectWiththeWish!,tt7772394
超级苍蝇,X导演,亚历克斯·谢,特雷沃·杰克逊/杰森·米切尔/迈克尔·肯尼斯·威廉姆斯/莱克斯·斯科特·戴维斯/詹妮弗·莫里森/埃塞·莫拉雷斯/安德莉亚·隆多/大冯波/雅各布·明-特伦特,动作/惊悚/犯罪,美国,英语,2018-06-13(美国),116分钟,SuperFly,tt7690670
重装上阵,马克·卡伦,马克·卡伦/罗布·卡伦,布鲁斯·威利斯/约翰·古德曼/杰森·莫玛/艾米丽·罗宾森/杰西卡·戈麦斯/卡莱蒂·威廉姆斯/迈尔斯·哈姆帕斯/法米克·詹森/托马斯·米德蒂奇/莫里斯·孔特/斯黛芬妮·西格曼/阿德里安·马丁斯/肯·戴维蒂安/维克托·奥尔蒂斯/亚当·戈德堡,喜剧/动作/惊悚,美国,英语,2017-06-16(美国),94分钟,抢救巴迪(台)/威尼斯往事/GoingUnder,tt4694544
