电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
西虹市首富,闫非/彭大魔,闫非/彭大魔/林炳宝,沈腾/宋芸桦/张一鸣/张晨光/常远/魏翔/赵自强/九孔/李立群/王成思/徐冬冬/艾伦/杨皓宇/黄才伦/王力宏/包贝尔/郎咸平/张绍刚/杨文哲/陶亮/王赞/黄杨/刘鉴/杨沅翰/林炳宝/骆佳/陈昊明/臧一人,喜剧,中国大陆,汉语普通话,2018-07-27(中国大陆),118分钟,HelloMr.Billionaire,tt8529186
捉妖记2,许诚毅,吴炜伦/陈咏燊/苏亮,梁朝伟/白百何/井柏然/李宇春/杨祐宁/大鹏/吴君如/曾志伟/黄磊/柳岩/吴莫愁/伍嘉成/赵磊/谷嘉诚/彭楚粤/陈泽希/郭子凡/肖战/焉栩嘉/夏之光/姜超/娄艺潇/张俪,喜剧/奇幻,中国大陆/香港,汉语普通话,2018-02-16(中国大陆),110分钟,MonsterHunt2,tt6170484
无敌破坏王2：大闹互联网,菲尔·约翰斯顿/瑞奇·摩尔,菲尔·约翰斯顿/帕米拉·里本/瑞奇·摩尔/吉姆·里尔顿/乔西·特立尼达,约翰·C·赖利/萨拉·西尔弗曼/盖尔·加朵/塔拉吉·P·汉森/杰克·麦克布瑞尔/简·林奇/艾伦·图代克/阿尔弗雷德·莫里纳/艾德·奥尼尔/肖恩·吉布朗尼/弗卢拉·博格/蒂莫西·西蒙斯/黄阿丽/韩秘书·布雷克/葛洛泽尔·格林/瑞贝卡·薇索基/山姆·理查森/雅布其·杨-怀特/莫里斯·拉马奇/梅丽莎·维拉斯诺/凯蒂·洛斯/贾米·埃曼/霍拉提奥·桑斯/亚历克斯·莫法特/琼·斯奎布/德拉·萨巴/菲尔·约翰斯顿/约翰·迪·玛吉欧/瑞奇·摩尔/科琳·巴林杰/达尼·费尔南德斯/蒂芙妮·赫雷拉/阿娜·奥缇兹/迪安娜·阿格隆/杰森·曼兹沃克斯/雷蒙德·S·佩尔西/伏霞/罗杰·克莱格·史密斯/蒂姆·艾伦/布拉德·加内特/安东尼·丹尼尔斯/科里·伯顿/范·迪塞尔/维韦卡·波林/迈克·吉亚奇诺/凯文·迪特斯/尼可·斯彻金格/丹·雷诺斯/艾琳·贝达/克里斯汀·贝尔/裘蒂·班森/奥丽伊·卡瓦洛/詹妮弗·黑尔/凯特·希金斯/琳达·拉金/凯莉·麦克唐纳/伊迪娜·门泽尔/曼迪·摩尔/佩吉·奥哈拉/帕米拉·里本/阿尼卡·诺尼·罗斯/温明娜/珍妮卡·贝尔格雷/比尔·哈德尔,喜剧/动画/奇幻/冒险,美国,英语,2018-11-23(中国大陆)/2018-11-21(美国),112分钟,无敌破坏王2/无敌破坏王2：网路大暴走(台)/无敌破坏王2：打爆互联网(港)/无敌破坏王2：破坏王大闹互联网/Wreck-ItRalph2,tt5848272
快把我哥带走,郑芬芬,赵越/郑芬芬/吕旭,张子枫/彭昱畅/赵今麦/孙泽源/周翊然/刘冠毅/姜宏波/徐光宇,喜剧/奇幻,中国大陆,汉语普通话,2018-08-17(中国大陆),115分钟,GoBrother!/TakeMyBrotherAway,tt8774260
绝世高手,卢正雨,卢正雨/赵英俊/冷旭阳/果晓丹,卢正雨/郭采洁/范伟/蔡国庆/陈冲/仓田保昭/孔连顺/黄龄/杨迪/柯达/艾伦/赵英俊/魏翔/汪聪/何蓝逗,喜剧/动作,中国大陆,汉语普通话,2017-07-07(中国大陆)/2017-06-22(上海电影节),116分钟,绝世高手之料理铁人/TheOne,tt7121588
精灵旅社3：疯狂假期,格恩迪·塔塔科夫斯基,迈克尔·麦库勒斯/格恩迪·塔塔科夫斯基,亚当·桑德勒/凯瑟琳·哈恩/史蒂夫·布西密/赛琳娜·戈麦斯/阿什·布林克夫/梅尔·布鲁克斯/科甘-迈克尔·凯/安迪·萨姆伯格/法兰·德瑞雪/大卫·斯佩德/凯文·詹姆斯/莫莉·香侬/格恩迪·塔塔科夫斯基/乔·怀特/克莉丝汀·泰根/乔·乔纳斯/吉姆·加菲根,喜剧/动画/奇幻,美国,英语,2018-08-17(中国大陆)/2018-07-13(美国),98分钟,鬼灵精怪大酒店3：怪兽旅行团(港)/尖叫旅社3：怪兽假期(台),tt5220122
调音师,斯里兰姆·拉格万,阿里吉特·比斯沃斯/约戈什·查德卡尔/斯里兰姆·拉格万/赫曼斯·饶/普哈·拉达·瑟蒂/奥利维耶·特雷内,阿尤斯曼·库拉纳/塔布/拉迪卡·艾普特/安尔·德霍万/马纳夫·维吉/阿什维尼·卡尔塞卡/查亚·卡达姆/萨基尔·侯赛因/拉什米·阿格德卡/莫希尼·凯瓦拉曼,喜剧/悬疑/惊悚/犯罪,印度,印地语,2019-04-03(中国大陆)/2018-10-05(印度),139分钟,看不见的旋律/调琴师/盲调/TheBlindMelody,tt8108198
唐人街探案2,陈思诚,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚,喜剧/动作/悬疑/犯罪,中国大陆,汉语普通话,2018-02-16(中国大陆),121分钟,唐探2/DetectiveChinatownVol2,tt7752454
比得兔,威尔·古勒,威尔·古勒/罗伯·列博/碧翠丝·波特,詹姆斯·柯登/多姆纳尔·格里森/萝丝·拜恩/伊丽莎白·德比茨基/玛格特·罗比/黛西·雷德利/科林·穆迪/山姆·尼尔/希雅/伊文·莱斯利/费萨尔·巴齐/克里斯蒂安·加扎尔/玛丽安娜·琼-巴普蒂斯特/加雷斯·戴维斯/山姆·哈夫特/萨莎·霍勒/娜塔丽·朱/特伦尼娅·爱德华兹/费利克斯·威廉森/许明珠/布莱恩·布朗/蕾切尔·沃德/大卫·文翰/威尔·赖歇尔特,喜剧/动画/冒险,美国/英国/澳大利亚,英语,2018-03-02(中国大陆)/2018-02-09(美国),95分钟,彼得兔,tt5117670
银魂,福田雄一,福田雄一/空知英秋,小栗旬/菅田将晖/桥本环奈/柳乐优弥/新井浩文/吉泽亮/早见明里/室毅/长泽雅美/冈田将生/佐藤二朗/菜菜绪/安田显/中村勘九郎/堂本刚/山田孝之,喜剧/动作/奇幻/冒险,日本,日语,2017-09-01(中国大陆)/2017-07-14(日本),130分钟,银魂真人版/Gintama,tt5805470
