,电影,类型,导演,主演
39,廉政风云,剧情/悬疑/犯罪,麦兆辉,刘青云/张家辉/林嘉欣/袁咏仪/方中信/陈家乐/汤怡/骆应钧/吴岱融/常倩/吴浩康
40,心理罪之城市之光,动作/悬疑/犯罪,徐纪周,邓超/阮经天/刘诗诗/文淇/林嘉欣/郭京飞/马苏
41,闪光少女,喜剧/音乐,王冉,徐璐/彭昱畅/刘泳希/鲁照华/韩忠羽/李诺/骆明劼/陈雨锶/乐思宏/崔可法/陆建艺/陈奕迅/汤甄/闫妮/耿乐
42,宝贝儿,剧情,刘杰,杨幂/郭京飞/李鸿其
43,逆时营救,动作/科幻,尹鸿承,杨幂/霍建华/金士杰/刘畅/张艺瀚/王俐丹
44,绝世高手,喜剧/动作,卢正雨,卢正雨/郭采洁/范伟/蔡国庆/陈冲/仓田保昭/孔连顺/黄龄/杨迪/柯达/艾伦/赵英俊/魏翔/汪聪/何蓝逗
45,叶问外传：张天志,剧情/动作/犯罪,袁和平,张晋/戴夫·巴蒂斯塔/柳岩/杨紫琼/托尼·贾/郑嘉颖/周秀娜/谭耀文/释彦能/姜皓文/栢天男/元华
46,黄金兄弟,动作/犯罪,钱嘉乐,郑伊健/陈小春/谢天华/钱嘉乐/林晓峰/曾志伟/佘诗曼/张雅玫/吴永伦
47,龙虾刑警,喜剧/动作/犯罪,李昕芸,王千源/袁姗姗/刘桦/周游/周云鹏/张锦程/沈腾
48,祖宗十九代,喜剧/奇幻,郭德纲,岳云鹏/吴京/吴秀波/井柏然/林志玲/王宝强/大鹏/吴君如/李晨/杜淳/郑恺/欧弟/张国立/贾乃亮/张俪/马苏/萧敬腾/汪东城/于谦/黄磊/吴樾/孙艺洲/贾玲/谢依霖/孟非/郭麒麟/谢楠/王小利/张晨光/刘蓓/孙越
49,如影随心,剧情/爱情,霍建起,陈晓/杜鹃/王嘉/马苏/华少/谢依霖/关晓彤/高晓攀/赵震/庞奕欣/侯佳伟/王毅凡
50,南极之恋,爱情/冒险,吴有音,赵又廷/杨子姗
51,奇门遁甲,动作/奇幻,袁和平,大鹏/倪妮/李治廷/周冬雨/伍佰/柳岩/许明虎/杨一威/谢苗/孙明明/黄晓明
52,十万个冷笑话2,喜剧/动画/奇幻,卢恒宇/李姝洁,山新/郝祥海/李姝洁/藤新/图特哈蒙/李佳怡/佟心竹/九孔/卢恒宇/宝木中阳
53,灵魂摆渡·黄泉,悬疑/惊悚/奇幻,巨兴茂,于毅/何花/王瑞昌/岳丽娜/倪虹洁/巨兴茂/鲁佳妮
54,神探蒲松龄,喜剧/动作/奇幻,严嘉,成龙/阮经天/钟楚曦/林柏宏/林鹏/乔杉/潘长江/苑琼丹/刘智福/刘智满/刘智堂/姜嫄
55,暴雪将至,剧情/悬疑/犯罪,董越,段奕宏/江一燕/杜源/郑伟/郑楚一/张林
56,未择之路,剧情/犯罪,唐高鹏,王学兵/朱耕佑/马伊琍/王旭峰/岳小军/王槊/曲高位
57,胖子行动队,喜剧/动作,包贝尔,文章/包贝尔/郭京飞/李成敏/辣目洋子/许君聪/曾一竣/张梦露/戚玉武/仓田保昭/木幡龙/宋佳/文隽
58,冥王星时刻,剧情,章明,王学兵/刘丹/曾美慧孜/易平/易大千/李心然/母其弥雅
59,鲛珠传,喜剧/动作/爱情/奇幻,杨磊,王大陆/张天爱/任达华/盛冠森/王迅/赵健/刘俊孝/释彦能/胡兵/何穗/蒋璐霞/杜奕衡/周一围
60,熊出没·原始时代,喜剧/动画/冒险,丁亮/林汇达,张伟/张秉君/谭笑/宋祖儿/刘思奇/万丹青/刘沛/孟雨田
61,反转人生,喜剧/奇幻,伍仕贤,夏雨/闫妮/潘斌龙/宋茜/吴大维/宁静/王宝强/雷佳音/李勤勤/郭凯敏/包贝尔/英达/景岗山/李静/肖剑/隋凯/吴彦祖/田雷/吴超/王祉萱/李振平/张英伟/滕雨佳/于婉丽/祁琪/肖瑶/吴冬妮/王今心/张昕琦/张昕瑶/佘铂诚/张泉通/黄兆暄/丁俨/萧群/李雷雷/李冉/丰林虎/付云云/安笑歌/陈彦廷/李振刚/李奕臻/杜海/佟野/刘妍冰/十三姨/马兰杏/闫长海/崔健/翁力/史元庭/马国健/应超男
62,泄密者,剧情/犯罪,邱礼涛,吴镇宇/张智霖/佘诗曼/周秀娜/郑则仕/刘浩龙/张继聪/李灿森/卫诗雅/杨柳青/灰熊/林嘉华
63,英雄本色2018,剧情/动作,丁晟,王凯/马天宇/王大陆/余皑磊/林雪/吴樾/李梦/张艺上/姜珮瑶/李岷城/宁浩/韩寒/丁晟/曾志伟
