,电影,类型,导演,主演
1247,疯狂原始人,喜剧/动画/冒险,柯克·德·米科/克里斯·桑德斯,尼古拉斯·凯奇/艾玛·斯通/瑞恩·雷诺兹/凯瑟琳·基纳/克萝丽丝·利奇曼/克拉克·杜克/克里斯·桑德斯/兰迪·汤姆
1248,禁闭岛,剧情/悬疑/惊悚,马丁·斯科塞斯,莱昂纳多·迪卡普里奥/马克·鲁弗洛/本·金斯利/马克斯·冯·叙多夫/米歇尔·威廉姆斯/艾米莉·莫迪默/派翠西娅·克拉克森/杰基·厄尔·哈利/泰德·拉文/约翰·卡洛·林奇/伊莱亚斯·科泰斯/罗宾·巴特利特/克里斯托弗·邓汉/约瑟夫·斯科拉
1249,布达佩斯大饭店,剧情/喜剧/冒险,韦斯·安德森,拉尔夫·费因斯/托尼·雷沃罗利/艾德里安·布洛迪/威廉·达福/裘德·洛/爱德华·诺顿/西尔莎·罗南/蒂尔达·斯文顿/比尔·默瑞/蕾雅·赛杜/欧文·威尔逊/詹森·舒瓦兹曼/马修·阿马立克/F·默里·亚伯拉罕/汤姆·威尔金森/杰夫·高布伦/哈威·凯特尔
1250,美丽心灵,剧情/传记,朗·霍华德,罗素·克劳/艾德·哈里斯/詹妮弗·康纳利/克里斯托弗·普卢默/保罗·贝坦尼/亚当·戈德堡/乔什·卢卡斯/安东尼·拉普/贾森·加里-斯坦福德/贾德·赫希/奥斯汀·潘德尔顿/薇薇·卡登尼/吉莉·西蒙/维克多·斯坦巴赫/坦娅·克拉克/罗伊·辛尼斯/谢丽尔·霍华德/兰斯·霍华德/简·詹金斯/乔什·帕斯/瓦伦蒂娜·卡迪纳利/蒂格尔·F·伯格里/迈克尔·埃斯佩尔/艾米·瓦尔兹/小艾德.朱普/卡拉·奥奇格罗索/斯特里奥·萨万特/迈克尔·阿伯特/雷吉·奥斯汀/凯德·比特纳/理查·布莱恩特/丹·陈/乔纳·福尔肯/法布里奇奥·范特/斯科特·费恩斯特罗姆/迈克尔·菲奥里/塞斯·盖贝尔/埃文·哈特/杰森·霍顿/布莱丝·达拉斯·霍华德/朗·霍华德/多里·曼佐尔/罗伯特·迈尔斯/里德·彭尼/米尔斯·彼埃尔/肖恩·里德
1251,奇迹男孩,剧情/家庭/儿童,斯蒂芬·卓博斯基,雅各布·特伦布莱/朱莉娅·罗伯茨/伊扎贝拉·维多维奇/欧文·威尔逊/诺亚·尤佩/丹妮尔·罗丝·拉塞尔/纳吉·杰特/戴维德·迪格斯/曼迪·帕廷金/布莱斯·吉扎尔/艾尔·麦金农/泰·孔西利奥/詹姆斯·休斯/凯尔·布瑞特科夫/米莉·戴维斯/莉娅·朱厄特/凯琳·布瑞特科夫/利亚姆·迪金森/艾玛·特伦布莱/马克·多兹劳/鲁奇娅·伯纳德/J·道格拉斯·斯图瓦特/阿里·利伯特/埃丽卡·麦基特里克/本杰明·拉特纳/杰森·麦金农/索尼娅·布拉加/吉洁特
1252,请以你的名字呼唤我,剧情/爱情/同性,卢卡·瓜达尼诺,艾米·汉莫/蒂莫西·柴勒梅德/迈克尔·斯图巴/阿蜜拉·卡萨/艾斯特·加瑞尔/维克托瓦尔·杜·波依斯/旺妲·卡布里奥罗/安东尼奥·里莫尔迪/埃琳娜·布奇/马可·斯格罗索/安德列·艾席蒙/彼得·斯皮尔斯
1253,神偷奶爸,喜剧/动画/冒险,皮埃尔·柯芬/克里斯·雷纳德,史蒂夫·卡瑞尔/杰森·席格尔/拉塞尔·布兰德/朱莉·安德鲁斯/威尔·阿奈特/克里斯汀·韦格/米兰达·卡斯格拉夫/达纳·盖尔/艾尔西·费舍尔/皮埃尔·柯芬/克里斯·雷纳德/杰梅奈·克莱门特/杰克·麦克布瑞尔/丹尼·麦克布莱德/敏迪·卡灵/罗布·许贝尔/肯·道里欧/郑肯
1254,血战钢锯岭,剧情/传记/历史/战争,梅尔·吉布森,安德鲁·加菲尔德/萨姆·沃辛顿/文斯·沃恩/雨果·维文/卢克·布雷西/泰莉莎·帕尔墨/瑞切尔·格里菲斯/纳撒尼尔·布佐尼克/理查德·劳斯伯格/马特·纳夫莱/费拉斯·迪拉尼/瑞安·柯尔/卢克·佩格勒
1255,蝙蝠侠：黑暗骑士,剧情/动作/科幻/惊悚/犯罪,克里斯托弗·诺兰,克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔/加里·奥德曼/摩根·弗里曼/莫尼克·加布里埃拉·库尔内/罗恩·迪恩/基里安·墨菲/黄经汉/内斯特·卡博内尔/埃里克·罗伯茨/里特奇·科斯特/安东尼·迈克尔·豪尔/基斯·斯扎拉巴基克/柯林·麦克法兰/约书亚·哈尔托/美琳达·麦格劳/内森·甘宝/迈克尔·维约/迈克尔·斯托扬诺夫/威廉·斯米利/丹尼·高德林/迈克尔·加·怀特/马修·奥尼尔/威廉·菲德内尔/欧鲁米基·欧拉乌米/格雷格·比姆/爱利克·赫尔曼/毕崔斯·罗森/文森佐·尼克力/陈冠希
1256,V字仇杀队,剧情/动作/科幻/惊悚,詹姆斯·麦克特格,娜塔莉·波特曼/雨果·维文/斯蒂芬·瑞/斯蒂芬·弗雷/约翰·赫特/蒂姆·皮戈特-史密斯/鲁珀特·格雷夫斯/罗杰·阿拉姆/本·迈尔斯/西妮德·库萨克/娜塔莎·怀特曼/约翰·斯坦丁/埃迪·马森/克里夫·阿什伯恩/EmmaField-Rayner/伊安·布尔费尔德/MarkPhoenix/AlisterMazzotti/比莉·库克/盖伊·亨利/科斯马·肖/MeganGay/RodericCulver/TaraHacking/安迪·莱什利兹/查德·斯塔赫斯基/布拉德利·斯蒂夫·福特/MadeleineRakic-Platt/塞丽娜·贾尔斯/卡斯腾·海斯/伊莫琴·普茨/劳拉·格林伍德/KyraMeyer/玛丽·萧克莱/理查德·莱恩/MichaelSimkins
1257,触不可及,剧情/喜剧,奥利维埃·纳卡什/埃里克·托莱达诺,弗朗索瓦·克鲁塞/奥玛·希/安娜·勒尼/奥德雷·弗勒罗/托马·索利韦尔
1258,飞屋环游记,剧情/喜剧/动画/冒险,彼特·道格特/鲍勃·彼德森,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井/鲍勃·彼德森/戴尔里·林多/杰罗姆·兰福特/约翰·拉岑贝格/大卫·卡耶/艾丽·道克特/杰里米·利里/米凯·麦高万/丹尼·曼恩/唐纳德·富利洛夫/杰斯·哈梅尔/乔什·库雷/彼特·道格特
1259,蜘蛛侠：平行宇宙,动作/科幻/动画/冒险,鲍勃·佩尔西凯蒂/彼得·拉姆齐/罗德尼·罗斯曼,沙梅克·摩尔/杰克·约翰逊/海莉·斯坦菲尔德/马赫沙拉·阿里/布莱恩·泰里·亨利/莉莉·汤姆林/劳伦·维勒斯/佐伊·克罗维兹/约翰·木兰尼/金可·格伦/尼古拉斯·凯奇/凯瑟琳·哈恩/列维·施瑞博尔/克里斯·派恩/娜塔丽·莫瑞丝/奥斯卡·伊萨克/格里塔·李/斯坦·李/乔玛·塔科内/华金·科西奥/蕾克·贝尔/梅勒妮·海恩斯/尼克·杰恩/穆尼卜·拉赫曼/卡洛斯·萨拉戈萨/黛西·罗斯·布莱内斯/里夫·霍顿/哈里森·奈特/莱克斯·朗/凯特琳·麦肯纳-威尔金森/斯科特·门维尔/克里斯托弗·米勒/德维卡·帕利赫/柯特妮·佩尔顿/克里斯蒂·法瑞斯/杰奎琳·皮诺尔/贾斯汀·沉卡罗/梅利莎·斯特姆
1260,机器人总动员,爱情/科幻/动画/冒险,安德鲁·斯坦顿,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉岑贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁
1261,少年派的奇幻漂流,剧情/奇幻/冒险,李安,苏拉·沙玛/伊尔凡·可汗/拉菲·斯波/阿迪勒·侯赛因/塔布/阿尤什·坦东/加塔姆·贝鲁尔/阿彦·汗/穆德·阿巴斯·卡勒里/维比什·希瓦库玛/热拉尔·德帕迪约/詹姆斯·塞托/俊·奈托/安德里亚·迪·斯戴法诺/沙拉万提·塞纳特/王柏杰/柯一正/黄健玮
1262,楚门的世界,剧情/科幻,彼得·威尔,金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩
1263,星际穿越,剧情/科幻/冒险,克里斯托弗·诺兰,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/麦肯吉·弗依/蒂莫西·柴勒梅德/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉雅西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X·麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰
1264,忠犬八公的故事,剧情,拉斯·霍尔斯道姆,理查·基尔/萨拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利/田川洋行/杰森·亚历山大/罗伯特·卡普荣
1265,三傻大闹宝莱坞,剧情/喜剧/爱情/歌舞,拉吉库马尔·希拉尼,阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达/博曼·伊拉尼/莫娜·辛格/拉杰夫·拉宾德拉纳特安
1266,怦然心动,剧情/喜剧/爱情,罗伯·莱纳,玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼/佩内洛普·安·米勒/艾丹·奎因/凯文·韦斯曼/摩根·莉莉/瑞安·克茨纳/吉莉安·普法夫/迈克尔·博萨/博·勒纳/杰奎琳·埃沃拉/泰勒·格鲁秀斯/艾莉·布莱恩特/阿什莉·泰勒/伊瑟尔·布罗萨德/科迪·霍恩/迈克尔·博尔顿/肖恩·哈珀/斯戴芬妮·斯考特/帕特丽夏·伦茨/马修·戈尔德/阿罗拉·凯瑟琳·史密斯/凯莉·唐纳利/索菲亚·撒高/米歇尔·梅斯默/ScottJoelGizicki/RodMyers/KaraPacitto/KatelynPacitto
1267,铁甲钢拳,剧情/动作/科幻/运动,肖恩·利维,休·杰克曼/达科塔·高尤/凯文·杜兰/安东尼·麦凯/伊万杰琳·莉莉/霍普·戴维斯/詹姆斯·瑞布霍恩/奥嘉·方达
1268,万箭穿心,剧情/家庭,王竞,颜丙燕/陈刚/焦刚/李现/赵倩/王沫溪/杨鸣秋/何明兰/刘善良/黄首霞/孙仲江/张瑞田/余龙钢
1269,东京教父,剧情/喜剧/动画,今敏,江守彻/梅垣义明/冈本绫/饭塚昭三/加藤精三/石丸博也/槐柳二/屋良有作/寺濑今日子/能登麻美子/大塚明夫/小山力也/宇垣秀成/小形满/芝原智矢子/竹口安芸子/伊藤和晃/古田信幸/汤屋敦子/堀川仁/风间勇刀/最上嗣生/园部好德/川濑晶子/宫崎晋永/矢原加奈子/柴田理惠/犬山犬子/山寺宏一/柚木凉香/进藤尚美/川原庆久/麻生智久/铃森勘司/金田朋子/藤原启治/兴梠里美
1270,蓝色大门,剧情/爱情/同性,易智言,陈柏霖/桂纶镁/梁又琳/仇政/明金成/林贤能/黄江丰/是元介/姚元浩/游智炜/翁桂邦/夏绍虞/陈梦萱
1271,发条橙,剧情/科幻/犯罪,斯坦利·库布里克,马尔科姆·麦克道威尔/帕特里克·马基/迈克尔·贝茨/沃伦·克拉克/约翰·克莱夫
1272,大鱼,剧情/家庭/奇幻/冒险,蒂姆·波顿,伊万·麦克格雷格/阿尔伯特·芬尼/比利·克鲁德普/杰西卡·兰格/海伦娜·伯翰·卡特/艾莉森·洛曼/罗伯特·吉尔劳姆/玛丽昂·歌迪亚/马修·麦克格罗里/大卫·丹曼/米西·派勒/卢顿·万恩怀特三世/艾达·泰/艾伦妮·泰/史蒂夫·布西密/丹尼·德维托/迪普·罗伊/海利·安妮·内尔森
1273,谍影重重2,动作/悬疑/惊悚,保罗·格林格拉斯,马特·达蒙/弗朗卡·波滕特/布莱恩·考克斯/朱丽娅·斯蒂尔斯/卡尔·厄本/琼·艾伦/加布里埃尔·曼/马尔顿·索克斯/约翰·贝德福德·劳埃德/伊桑·桑德勒/米歇尔·莫纳汉/卡瑞尔·罗登/托马斯·阿拉纳/奥莎娜·阿金什那/汤姆·加洛普
1274,再次出发之纽约遇见你,喜剧/爱情/音乐,约翰·卡尼,凯拉·奈特莉/马克·鲁弗洛/亚当·莱文/詹姆斯·柯登/海莉·斯坦菲尔德/凯瑟琳·基纳/茅斯·达夫/罗伯·莫洛/伊恩·布罗茨基/香农·沃尔什/大卫·埃伯利斯/马科·阿桑特/玛丽·凯瑟琳·歌瑞森/詹·雅各布/席洛·格林/詹妮弗·李·杰克逊/特里·刘易斯/吉米·帕伦博/西蒙·德兰尼/丹妮尔·布里瑟布瓦/基恩·鲁弗洛/尼古拉斯·丹尼尔·冈萨雷斯/麦迪·科尔曼/阿雅·卡什/大卫·彭德尔顿/保罗·罗梅罗/安德鲁·塞伦/凯伦·皮特曼/罗恩·沃斯
1275,彼铁卢,剧情/历史,迈克·李,玛克辛·皮克/罗里·金奈尔/蒂姆·麦克纳尼/戴维·鲍姆伯/里奥·比尔/尼克·迈瑞莱格伦/菲利普·杰克森/皮尔斯·奎格利/阿拉斯塔尔·麦肯泽/卡尔·约翰逊/马克·瑞安/克瑞恩·奥伯里恩/李·博德曼
1276,海王,动作/奇幻/冒险,温子仁,杰森·莫玛/艾梅柏·希尔德/威廉·达福/帕特里克·威尔森/妮可·基德曼/杜夫·龙格尔/叶海亚·阿卜杜勒-迈丁/特穆拉·莫里森/林路迪/迈克尔·比奇/兰道尔·朴/格拉汉姆·麦克泰维什/雷·沃纳尔/泰努伊·柯克伍德/塔穆尔·柯克伍德/丹泽尔·夸克/卡恩·古尔杜尔/奥蒂斯·丹吉/克考亚·克库毛诺/朱莉·安德鲁斯/约翰·瑞斯-戴维斯/杰曼·翰苏/索菲亚·福雷斯特/娜塔莉亚·姗福瑞/杰克·安德鲁/汉克·阿莫斯/帕特里克·考克斯/罗伯特·朗斯特里特/德维卡·帕利赫/梅布尔·塔莫内/文森特·B·拉戈斯/加布里埃拉·佩特科娃/爱丽丝·兰斯伯里/帕特里克·艾奇逊/约翰·盖蒂尔/塔丽亚·杰德·霍尔特/罗斯·克纳汉/布拉登·刘易斯/萨尔瓦多·梅伦达/山姆·莫纳汉/温妮·穆赞贝/凯·潘塔诺/安娜·帕奇/乔恩·奎斯蒂德/迪伦·斯图默/米奇·武尔夫
1277,毒液：致命守护者,动作/科幻/惊悚,鲁本·弗雷斯彻,汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德/斯科特·黑兹/瑞德·斯科特/珍妮·斯蕾特/梅洛拉·沃尔特斯/伍迪·哈里森/佩吉·陆/马尔科姆·C·默里/索佩·阿卢科/韦恩·佩雷/米歇尔·李/库尔特·岳/克里斯·奥哈拉/埃米里奥·瑞弗拉/阿里亚当娜·约瑟夫/袁之正/朴云龙/麦克·勃兰特/尼克·图恩/山姆·麦地那/迪塞尔·马德金斯/简·麦克尼尔/维克托·麦凯/马丁·巴特斯·布拉德福德/布兰顿·莫拉莱斯/马修·康威尔/斯坦·李/韦德·威廉姆斯/约瑟夫·阿梅/威廉·W·巴伯/玛塞拉·布拉吉奥/卡特·伯奇/克里斯蒂安·康佛瑞/詹姆斯·富尔特斯/丹妮拉·加斯基/约翰·盖蒂尔/艾米丽塔·T·冈萨雷斯/杰克·汉森/安东尼·B·哈里斯/卡茜·亨德利/罗恩·彼得·琼斯/霍梅洛·洛佩兹/万恩·姆约维奇
1278,蚁人2：黄蜂女现身,动作/科幻/冒险,佩顿·里德,保罗·路德/伊万杰琳·莉莉/迈克尔·佩纳/汉娜·乔恩-卡门/沃尔顿·戈金斯/鲍比·坎纳瓦尔/朱迪·格雷尔/T.I./大卫·达斯马齐连/艾比·莱德·弗特森/兰道尔·朴/米歇尔·菲佛/劳伦斯·菲什伯恩/迈克尔·道格拉斯/戈兰·卡斯蒂克/罗布·阿切尔/肖恩·克莱尔/本·戴维斯/迈克尔·瑟沃瑞斯/达克斯·格里芬/海莉·洛维特/玛德琳·麦格劳/蒂姆·海德克/布莱恩·赫斯基/朱莉娅·维拉/布莱恩·卢戈/托里·沃格尔/汤姆·夏普林/斯坦·李/约瑟夫·阿梅/安迪·阿尼斯/威廉·W·巴伯/玛塞拉·布拉吉奥/塞尔吉奥·布里奥内斯/乔·布卡罗三世/蒂莫西·卡尔/贾迈尔·钱伯斯/扎卡里·卡伯森/雅各布·埃文斯/米歇尔·方/盖尔·甘布尔/克里斯·加恩/约翰·盖蒂尔/杰克·汉森/卡茜·亨德利
1279,死侍2：我爱我家,喜剧/动作/科幻/冒险,大卫·雷奇,瑞恩·雷诺兹/乔什·布洛林/朱利安·迪尼森/斯蒂芬·卡皮契奇/莎姬·贝兹/T·J·米勒/莱斯利·格塞斯/卡兰·索尼/布里安娜·希德布兰德/莫蕾娜·巴卡琳/杰克·凯西/埃迪·马森/忽那汐里/兰德尔·瑞德/尼古莱·维切尔/赛尔·哈里斯/罗伯·德兰尼/刘易斯·谭/比尔·斯卡斯加德/泰瑞·克鲁斯/布拉德·皮特/罗伯特·梅耶/艾伦·图代克/马特·达蒙/海莉·塞尔斯/麦克·多普德/卢克·勒斯勒尔/亨特·狄龙/大卫·雷奇/山姆·哈格雷夫/尼古拉斯·霍尔特
1280,阿丽塔：战斗天使,动作/科幻/冒险,罗伯特·罗德里格兹,罗莎·萨拉查/克里斯托弗·沃尔兹/基恩·约翰逊/艾德·斯克林/马赫沙拉·阿里/詹妮弗·康纳利/杰基·厄尔·哈利/拉娜·康多/小豪尔赫·兰登伯格/艾莎·冈萨雷斯/卡斯帕·凡·迪恩/米歇尔·罗德里格兹/爱德华·诺顿/杰夫·法赫/山姆·麦地那/德里克·梅耶斯/艾丽·拉蒙特/豪尔赫·A·希门尼斯/马克·扎罗/比利·布莱尔/伦纳德·吴/特里斯坦·里格斯/迈克尔·洛夫·托利弗/金/达塞尔·丹妮尔/马克·A·怀特
1281,神奇动物：格林德沃之罪,奇幻/冒险,大卫·叶茨,埃迪·雷德梅恩/凯瑟琳·沃特斯顿/约翰尼·德普/裘德·洛/埃兹拉·米勒/丹·福勒/艾莉森·萨多尔/佐伊·克罗维兹/卡勒姆·特纳/金秀贤/威廉·纳迪兰/凯文·格思里/卡门·艾乔戈/沃尔夫·罗特/德里克·里德尔/科内尔·约翰/英格瓦·埃盖特·西古德松/波佩·科比-特曲/西蒙·米考克/大卫·樱井/维多利亚·耶茨/奥拉维尔·达里·奥拉夫松/大卫·威尔莫特/艾德·高根/奥莉维亚·波皮卡/阿尔菲·西蒙斯/菲奥娜·格拉斯科特/杰米·坎贝尔·鲍尔/托比·瑞格波/约书亚·谢伊/布隆蒂斯·佐杜洛夫斯基/杰西卡·威廉姆斯/欧文·弗热瑞/休·夸希/塔希尔·布尔汉/迈克尔·科布/萨比恩·克洛森/亚历珊德拉·福特/肖恩·吉斯灵厄姆/通恰伊·古奈什/迈克尔·海登/露丝·霍洛克斯/泰·赫尔利/纳西尔·贾玛/卡米尔·雷米泽斯基/迪诺·布加迪
1282,宠儿,剧情/喜剧/同性/传记,欧格斯·兰斯莫斯,奥利维娅·科尔曼/艾玛·斯通/蕾切尔·薇兹/尼古拉斯·霍尔特/乔·阿尔文/马克·加蒂斯/蒂莫西·英纳斯/珍妮·莱恩斯福德/詹姆斯·史密斯/詹姆斯·梅尔维尔/杰克·维尔
1283,一条狗的回家路,剧情/冒险,查尔斯·马丁·史密斯,艾什莉·贾德/乔纳·豪尔-金/狗狗谢尔比/亚历山德拉·希普/韦斯·斯塔迪/布莱丝·达拉斯·霍华德/巴里·沃森/克里斯·鲍尔/塔米·吉利斯/派崔克·盖勒/爱德华·詹姆斯·奥莫斯/露西娅·沃尔特斯/莱恩·爱德华兹/约翰·卡西尼/本杰明·拉特纳/斯宾塞·德雷弗/阿丽尔·图里奥/詹妮弗·吉布森/罗南多·博伊斯/法拉赫·阿维瓦/达西·劳瑞/特洛伊·鲁道夫
1284,一个明星的诞生,剧情/爱情/音乐,布莱德利·库珀,LadyGaga/布莱德利·库珀/山姆·艾里奥特/安德鲁·戴斯·克雷/拉菲·格拉沃恩/安东尼·拉莫斯/大卫·查普尔/亚历克·鲍德温/马龙·威廉姆斯/布兰迪·卡莉/朗·瑞弗金/巴里·沙巴卡·亨利/迈克尔·D·罗伯茨/迈克尔·哈尔尼/丽贝卡·菲尔德/威廉·贝利/格雷戈·格伦伯格/D·J·尚格拉·皮尔斯/德瑞娜·德尼罗/艾迪·格里芬/哈尔希/马修·利巴提克/路奈尔·坎贝尔/唐·渥斯/伦尼·卡斯特罗/唐·罗伊·金/格雷戈里·斯卡尔尼奇/弗兰克·安妮罗/杰尔马诺·布兰科/梅根·豪恩/马克·查普曼/史蒂文·西塞罗/阿曼达·菲尔茨/阿尔弗雷德·加比杜林/弗雷德里克·基夫
1285,我想吃掉你的胰脏,爱情/动画,牛岛新一郎,高杉真宙/Lynn/藤井雪代/内田雄马/福岛润/田中敦子/三木真一郎
1286,龙珠超：布罗利,动画,长峰达也,野泽雅子/堀川亮/中尾隆圣/岛田敏/古川登志夫/久川绫/山寺宏一/森田成一/水树奈奈/杉田智和/宝龟克寿
1287,胡桃夹子和四个王国,奇幻/冒险,拉斯·霍尔斯道姆/乔·庄斯顿,麦肯吉·弗依/摩根·弗里曼/凯拉·奈特莉/马修·麦克费登/海伦·米伦/艾丽·巴姆博/米兰达·哈特/欧赫尼奥·德尔维斯/杰克·怀特霍尔/理查德·E·格兰特/谢尔盖·波卢宁/欧米德·吉亚李利/梅拉·沙尔/尼克·穆罕默德/杰茜·维宁/汤姆·斯威特/马里安·洛伦西克/芙洛·费拉科/丽塔-麦克唐纳丹帕/查尔斯·斯特里特
1288,巨齿鲨,动作/科幻/惊悚,乔·德特杜巴,杰森·斯坦森/李冰冰/雷恩·威尔森/鲁比·罗丝/赵文瑄/佩吉·肯尼迪/杰西卡·麦克娜美/奥拉维尔·达里·奥拉夫松/罗伯特·泰勒/蔡书雅/丘增/克利夫·柯蒂斯/安佑森/罗伯·基帕-威廉姆斯/维他亚·潘斯林加姆/安得烈·格兰杰/蒂姆·王/史蒂文·A·戴维斯/托万达·马尼莫/买红妹
1289,女孩,剧情/同性,卢卡斯·德霍特,维克托·波尔斯特/阿里耶·沃索尔特/奥利弗·博达特/蒂伊门·戈瓦尔茨/卡特简·达门/瓦伦提金·达恩斯/克里斯·泰斯/安吉洛·提森/艾莉西亚·德佩克
1290,夜以继日,剧情/爱情,滨口龙介,东出昌大/唐田英里佳/濑户康史/山下莉绪/伊藤沙莉/渡边大知/仲本工事/田中美佐子
1291,憨豆特工3,喜剧/动作/冒险,大卫·科尔,罗温·艾金森/本·米勒/欧嘉·柯瑞兰寇/杰克·莱西/艾玛·汤普森/米兰达·亨妮莎/亚当·詹姆斯/萨曼莎·罗素/大卫·穆梅尼/通恰伊·古奈什/梶冈润一/埃迪·奥康奈尔/尼克·欧文福特/马修·比尔德
1292,瞒天过海：美人计,喜剧/犯罪,盖瑞·罗斯,桑德拉·布洛克/凯特·布兰切特/安妮·海瑟薇/海伦娜·伯翰·卡特/蕾哈娜/莎拉·保罗森/敏迪·卡灵/奥卡菲娜/詹姆斯·柯登/理查德·阿米蒂奇/格里芬·邓恩/迪德尔·古德温/丹尼埃拉·拉贝尼/埃利奥特·古尔德/夏洛特·柯克/达科塔·范宁/理查德·罗比查乌克斯/达米安·杨/戈登·格里克/凯特琳·梅纳/詹姆斯·比贝里/香农·弗雷尔/康纳尔·多诺万/凯文·布朗/马尔洛·托马斯/丹娜·爱薇/玛丽·路易丝·威尔逊/伊丽莎白·阿什利/凯蒂·霍尔姆斯/肯多尔·詹纳/凯莉·詹娜/金·卡戴珊
1293,境·界,动作/奇幻/冒险,佐藤信介,福士苍汰/杉咲花/吉泽亮/真野惠里菜/小柳友/田边诚一/早乙女太一/石原贵雅/长泽雅美/江口洋介
1294,超人总动员2,喜剧/动作/动画/冒险,布拉德·伯德,格雷格·T·尼尔森/霍利·亨特/莎拉·沃威尔/赫克·米尔纳/伊莱·富西尔/凯瑟琳·基纳/塞缪尔·杰克逊/伊莎贝拉·罗西里尼/鲍勃·奥登科克/布拉德·伯德/索菲亚·布什/乔纳森·班克斯/约翰·拉岑贝格/金伯利·阿代尔·克拉克/托亚·特纳
1295,我的英雄学院：两位英雄,动作/动画,长崎健司,山下大辉/三宅健太/志田未来/生濑胜久/冈本信彦/佐仓绫音/石川界人/梶裕贵/增田俊树/广桥凉/畠中祐/井上麻里奈/真堂圭/古岛清孝/奈良彻/西田雅一/细谷佳正/喜多村英梨/悠木碧/名塚佳织/小山力也/小形满/木村良平/大悟/饭田利信/佐藤健辅/富樫美铃/福西胜也/小林爱
1296,摘金奇缘,喜剧/爱情,朱浩伟,吴恬敏/亨利·戈尔丁/杨紫琼/嘉玛·陈/奥卡菲娜/卢燕/岑勇康/郑肯/水野索诺娅/吴育刚/欧阳万成/钱信伊/瑞米·海依/尼科·桑托斯/陆思敬/苏慧敏/方展发/谢宛谕/维多利亚·洛克/许优美/郑花如/许静雯/卡尔文·王/陈琼华/刘佳镁/陈美廪/内万·科伊特/阿曼达·埃文斯/彼得·霍奇森/安德斯·塔格/丹尼尔·詹金斯/彼得·卡罗尔/黛博拉·杨/查尔斯·格朗斯/杰西卡·加莱蒂/SweeHuatTeo/罗尼·纪/IsaacBoonChuonLee/罗杰·谢克/LeeZhiJian/LeeJunWen/拉塞尔·黄/马尔库斯·莫/杰瑞卡·黎/乔·翁/陈胤希/德尔菲诺润二/BeatriceChein/TanEnYu/TanEnDong/姬丝·阿奎诺/LucindaLew/黄苏珊/TumurbaatarEnkhtungalag/木下众平/吉娜·格莱尼斯/凯文·关/斯蒂芬妮·欧阳/LeongChunChong/HoYanXi/兰斯·埃明格/卡兰比尔·亨达尔/斯蒂芬·杰克/纪宝珠
1297,野梨树,剧情,努里·比格·锡兰,岛吾·德米尔考/穆拉特·杰姆吉尔/本努·耶勒德热姆拉尔/哈扎尔·埃尔居奇卢/塞尔坎·凯斯金/塔梅尔·莱文特/厄内尔·埃尔坎/里法特·桑贾尔/阿克·阿克苏/卡迪尔·瑟米克/欧扎·费什特
1298,摩天营救,动作/惊悚/冒险,罗森·马歇尔·瑟伯,道恩·强森/内芙·坎贝尔/黄经汉/罗兰·默勒/麦肯纳·罗伯茨/诺亚·科特雷尔/诺亚·泰勒/巴勃罗·施瑞博尔/凯文·兰金/昆凌/文峰/马特·欧莱瑞/比特里斯·金/马志/保罗·麦克吉莱恩/吴嘉星/艾德里安·霍姆斯/维努斯·特雷佐/杰特·克莱恩/拜伦·劳森/关永扬/法比欧·塔索恩/卡洛·余
1299,太空生活,剧情/科幻,克莱尔·德尼,罗伯特·帕丁森/朱丽叶·比诺什/安德雷·本杰明/米娅·高斯/拉斯·艾丁格/阿加塔·布泽克/克莱尔·陈/伊万·米切尔/维克多·班纳杰/GloriaObianyo
