电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
爸爸去哪儿,谢涤葵/林妍,王海峰/潇雅,林志颖/小小志/王岳伦/王诗龄/张亮/张悦轩/田亮/田雨橙/郭涛/郭子睿/李锐/何炅,喜剧/家庭/儿童,中国大陆,汉语普通话,2014-01-31(中国大陆),95分钟,"爸爸去哪儿电影版/爸爸去哪儿大电影/Dad,WhereAreWeGoing?",tt4542658
爱在记忆消逝前,保罗·维尔齐,弗朗西斯·皮克罗/弗兰切斯卡·阿尔基布吉/保罗·维尔齐/MichaelZadoorian/斯蒂芬·阿米登,海伦·米伦/唐纳德·萨瑟兰/简·默勒尼/克里斯蒂·米切尔/罗伯特·沃克·布兰乔德/克里斯蒂安·麦凯/约书亚·胡佛/罗伯特·普拉尔戈/约书亚·米克尔,喜剧/爱情/冒险,意大利/法国,英语,2018-02-23(中国大陆)/2017-09-03(威尼斯电影节)/2018-01-25(意大利),112分钟,人生无限露营车(台)/爱在记忆消失前/浮生偷闲/求闲者/Ella&John-TheLeisureSeeker,tt3741632
濑户内海,大森立嗣,大森立嗣/此元和津也/宫崎大,池松壮亮/菅田将晖/中条彩未/铃木卓尔/宇野祥平/冈山天音,剧情/喜剧,日本,日语,2016-06-12(上海电影节)/2016-07-02(日本),75分钟,SetoNaikai/Setoutsumi,tt4934870
燃情岁月,爱德华·兹威克,威廉·D·威特利夫/吉姆·哈里森/SusanShilliday,布拉德·皮特/安东尼·霍普金斯/艾丹·奎因/朱莉娅·奥蒙德/亨利·托马斯/卡琳娜·隆巴德/坦图·卡丁诺/高登·图托西斯/克里斯蒂娜·皮克勒斯/约翰·诺瓦克/肯尼斯·威尔什/尼格尔·本内特/基根·麦金托什/埃里克·约翰逊/兰德尔·斯莱文/大卫·卡耶/CharlesAndre/肯·科齐格/WinnieHung/巴特熊/GregFawcett/加里·A·赫克/MatthewRobertKelly,剧情/爱情/战争/西部,美国,英语/科尼什语,1994-12-16(美国),133分钟,秋日传奇/真爱一世情(台)/LegendsoftheAutumn,tt0110322
末日崩塌,布拉德·佩顿,卡尔顿·库斯/安德烈·法布里齐奥/杰里米·帕斯莫尔,道恩·强森/亚历珊德拉·达达里奥/卡拉·古奇诺/雨果·约翰斯通-伯特/雅奇·潘嘉比/科尔顿·海恩斯/艾恩·格拉法德/保罗·吉亚玛提/凯莉·米洛/李威尹/瓦内萨·罗斯/马特·杰拉德/阿特·帕金森/罗宾·阿特金·唐斯/艾伦·D·柏温/亚历克·乌特戈夫/摩根·格莉芬/杰米斯·巴特勒/艾伦·波普尔顿,动作/冒险/灾难,美国/澳大利亚,英语,2015-06-02(中国大陆)/2015-05-29(美国),114分钟,加州大地震(台)/圣安地列斯,tt2126355
恋爱回旋,石川淳一,古泽良太,新垣结衣/瑛太/广末凉子/苍井优/濑户康史/永野芽郁/山口纱弥加/佐野勇斗/远藤宪一/森崎博之/吉田钢太郎/久间田琳加/生濑胜久/铃木福/谷花音/真木阳子/小日向文世/中村安奈/水谷隼/石川佳纯/伊藤美诚/木造勇人/吉村真晴/浜本由惟,喜剧/运动,日本,日语,2018-03-09(中国大陆)/2017-10-21(日本),119分钟,混合双打/乒乓情人梦(港)/乒乓少女大逆袭(台)/混双/Mix!/MixedDoubles,tt6523440
我的父亲母亲,张艺谋,鲍十,章子怡/郑昊/孙红雷/李滨/嵇波/宋运成,剧情/爱情,中国大陆,汉语普通话,1999-10-16(中国大陆)/2000-02-15(柏林电影节),89分钟,TheRoadHome/MyFatherandMother,tt0235060
海底总动员2：多莉去哪儿,安德鲁·斯坦顿/安格斯·麦克莱恩,安德鲁·斯坦顿/维多利亚·斯特劳斯/鲍勃·彼德森,艾伦·德杰尼勒斯/艾伯特·布鲁克斯/艾德·奥尼尔/凯特琳·奥尔森/海登·罗兰斯/泰·布利尔/黛安·基顿/尤金·列维/斯隆·穆雷/伊德里斯·艾尔巴/多米尼克·威斯特/鲍勃·彼德森/凯特·麦克金农/比尔·哈德尔/西格妮·韦弗,喜剧/动画/家庭/冒险,美国,英语,2016-06-17(中国大陆/美国),97分钟,海底总动员2：寻找多莉/寻找多莉/海底奇兵2(港),tt2277860
春娇与志明,彭浩翔,彭浩翔/陆以心,杨千嬅/余文乐/杨幂/徐峥/陈逸宁/林兆霞/谷德昭/詹瑞文/司徒慧焯/黄晓明/郑伊健/王馨平/田蕊妮/邵音音/曾国祥/谷祖琳/方皓玟/阎汶宣/刘浩龙/周子扬/黄素欢/王太利/彭浩翔/郝蕾/尹志文/魏雨琦,剧情/喜剧/爱情,香港/中国大陆,粤语/汉语普通话,2012-03-30(中国大陆)/2012-03-29(香港),111分钟,志明与春娇2/LoveinTheBuff,tt2238839
给朱丽叶的信,盖瑞·温尼克,约瑟·里韦拉/TimSullivan,阿曼达·塞弗里德/盖尔·加西亚·贝纳尔/克里斯托弗·艾甘/瓦妮莎·雷德格瑞夫/马西娅·德波尼斯/GiordanoFormenti,剧情/喜剧/爱情,美国,英语,2010-05-14,106分钟（美国）,茱丽叶爱情信箱(港)/致茱莉亚的信/给茱丽叶的信,tt0892318
