电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接,官方小站
红高粱,张艺谋,莫言/陈剑雨/朱伟,姜文/巩俐/滕汝骏/钱明/陈志刚/计春华,剧情/爱情/历史/战争,中国大陆,汉语普通话/日语,1988-10-10(中国大陆)/2018-10-12(中国大陆重映)/1988-02(柏林电影节),91分钟,RedSorghum/Sorgorojo,tt0093206,
惊天魔盗团,路易斯·莱特里尔,鲍兹·亚金/爱德华·里科/艾德·索罗门,杰西·艾森伯格/艾拉·菲舍尔/伍迪·哈里森/戴夫·弗兰科/马克·鲁弗洛/梅拉尼·罗兰/摩根·弗里曼/迈克尔·凯恩/迈克尔·凯利,剧情/悬疑/犯罪,美国/法国,英语/法语,2013-10-10(中国大陆)/2013-05-21(纽约首映)/2013-05-31(美国),115分钟/125分钟(加长版),非常盗(港)/出神入化(台)/瞒天过海/看到我了吧,tt1670345,
雷神2：黑暗世界,阿兰·泰勒,克里斯托弗·约斯特/克里斯托弗·马库斯/斯蒂芬·麦克菲利/唐·佩恩/罗伯特·罗达特/斯坦·李/拉里·利伯/杰克·科比/沃尔特·西蒙森,克里斯·海姆斯沃斯/娜塔莉·波特曼/汤姆·希德勒斯顿/安东尼·霍普金斯/克里斯托弗·埃克莱斯顿/杰米·亚历山大/扎克瑞·莱维/雷·史蒂文森/浅野忠信/伊德里斯·艾尔巴/蕾妮·罗素/阿德沃尔·阿吉纽依-艾格拜吉/凯特·戴琳斯/斯特兰·斯卡斯加德/艾丽丝·克里奇/克里夫·罗素/乔纳森·霍华德/克里斯·奥多德/妲露拉·莱莉/奥菲利亚·拉维邦德/本尼西奥·德尔·托罗/斯坦·李,动作/奇幻/冒险,美国,英语,2013-11-08(中国大陆/美国),112分钟,雷神奇侠2：黑暗世界(港)/雷神索尔2：黑暗世界(台)/雷神2：黑暗国度/雷神托尔2/Marvel'sThor:TheDarkWorld/Thor2,tt1981115,
背靠背，脸对脸,黄建新/杨亚洲,黄建新/孙毅安/刘醒龙,牛振华/雷恪生/李强/句号/王劲松/戈治均/佘南南/张嘉译/刘国祥/徐学政/林海海/温谦/马载军/吴玮玲/张艺/韩炳杰/杨亚洲/王馥荔,剧情,中国大陆/香港,汉语普通话,1994-09-10(多伦多电影节),141分钟,"背对背，脸对脸/BacktoBack,FacetoFace/秋风醉了",tt0109235,
我是传奇,弗朗西斯·劳伦斯,马克·波托塞维奇/阿齐瓦·高斯曼,威尔·史密斯/艾莉丝·布拉加/CharlieTahan/达什·米霍克/莎莉·理查德森,剧情/科幻/恐怖,美国,英语,2007-12-14(美国),101分钟/104分钟,末日传奇/魔间传奇,tt0480249,
阿黛尔的生活,阿布戴·柯西胥,阿布戴·柯西胥/茱莉·马罗/加利亚·拉克鲁瓦,阿黛尔·艾克萨勒霍布洛斯/蕾雅·赛杜/萨利姆·克希乌什/热雷米·拉厄尔特/卡特琳·萨雷/奥雷利安·雷克因/莫娜·瓦尔拉芬斯·/阿尔玛·佐杜洛夫斯基/安娜·卢瓦雷/本杰明·思科索/桑德尔·丰泰克,剧情/爱情/同性,法国/比利时/西班牙/突尼斯,法语/英语,2013-05-23(戛纳电影节)/2013-10-09(法国/比利时),179分钟,接近无限温暖的蓝(港)/蓝色是最温暖的颜色(台)/火热蓝色/Adele:Chapters1&2/BlueIstheWarmestColor,tt2278871,
侏罗纪公园,史蒂文·斯皮尔伯格,迈克尔·克莱顿/大卫·凯普,山姆·尼尔/劳拉·邓恩/杰夫·高布伦/理查德·阿滕伯勒/鲍勃·佩克/马丁·费雷罗/约瑟夫·梅泽罗/阿丽亚娜·理查兹/塞缪尔·杰克逊/黄荣亮/韦恩·奈特/杰拉尔德·R·莫伦/米盖尔·桑多瓦尔,科幻/惊悚/冒险,美国,英语/西班牙语,2013-08-20(中国大陆3D)/1993-06-11(美国)/2013-04-05(美国),127分钟,JurassicPark3D,tt0107290,
攻壳机动队,押井守,伊藤和典/士郎正宗,田中敦子/大塚明夫/山寺宏一/大木民夫/家弓家正/玄田哲章/山内雅人/小川真司,动作/科幻/动画,日本,日语,1995-11-18(日本),83分钟,GhostintheShell,tt0113568,
寻龙诀,乌尔善,张家鲁/天下霸唱,陈坤/黄渤/舒淇/杨颖/夏雨/刘晓庆/颜卓灵/曹操/张东/黄西/僧格仁钦,剧情/动作/奇幻/冒险,中国大陆/香港,汉语普通话/英语/蒙古语/日语,2015-12-18(中国大陆),125分钟(中国大陆),乌尔善版鬼吹灯/鬼吹灯之寻龙诀/鬼吹灯/TheGhouls/Mojin-TheLostLegend,tt4276752,
侏罗纪世界,科林·特雷沃罗,里克·杰法/阿曼达·斯尔沃/德里克·康纳利/科林·特雷沃罗/迈克尔·克莱顿,克里斯·帕拉特/布莱丝·达拉斯·霍华德/文森特·多诺费奥/泰·辛普金斯/尼克·罗宾森/奥玛·希/黄荣亮/伊尔凡·可汗/朱迪·格雷尔/杰克·约翰逊/劳伦·拉普库斯/凯蒂·麦克格雷斯/布莱恩·泰/埃迪·J.费尔南德斯/因德尔·库马尔/安迪·巴克利/吉米·法伦,动作/科幻/冒险,美国/中国大陆,英语,2015-06-10(中国大陆)/2015-06-12(美国),124分钟,侏罗纪公园4/JurassicParkIV/JurassicPark4,tt0369610,
社交网络,大卫·芬奇,艾伦·索金/本·麦兹里奇,杰西·艾森伯格/安德鲁·加菲尔德/贾斯汀·汀布莱克/鲁妮·玛拉/约瑟夫·梅泽罗/艾米·汉莫/乔什·平茨/艾比·森哈/布兰达·宋/达科塔·约翰逊/艾伦·索金/艾玛·菲茨帕特里克/玛莱斯·裘/马克·索尔/达斯汀·菲兹莫斯/帕特里克·梅佩尔,剧情/传记,美国,英语/法语,2010-09-24(纽约电影节)/2010-10-01(美国),120分钟,社群网战(台)/Facebook的故事/脸书狂潮/该页无法显示(豆友译名),tt1285016,
降临,丹尼斯·维伦纽瓦,埃里克·海瑟尔/姜峯楠,艾米·亚当斯/杰瑞米·雷纳/福里斯特·惠特克/迈克尔·斯图巴/马志/马克·奥布莱恩/乔·柯布登/派特·凯利/娜塔莉·希波蒂/袁罗素/克里斯蒂安·杰达/朱利安·凯西,剧情/科幻,美国,英语/俄语/汉语普通话,2017-01-20(中国大陆)/2016-09-01(威尼斯电影节)/2016-11-11(美国),116分钟,你一生的故事/天煞异降(港)/异星入境(台)/抵达/抵达者/StoryofYourLife,tt2543164,
两小无猜,杨·塞谬尔,杨·塞谬尔,吉约姆·卡内/玛丽昂·歌迪亚/蒂博•费尔哈格/约瑟芬·勒巴-乔利/艾曼妞·格伦沃尔德/杰拉德·沃特金斯/吉尔·勒卢什/朱莉娅·福雷/LaëtiziaVeneziaTarnowska/艾乐蒂·纳瓦/纳塔莉·纳捷/RobertWillar/FrédéricGeerts/ManuelaSanchez/PhilippeDrecq,剧情/喜剧/爱情,法国/比利时,法语,2003-09-17(法国),93分钟,敢爱就来/宝贝游戏/儿童游戏/LoveMeIfYouDare,tt0364517,
