电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
好朋友,艾伦·斯密特,亨克·伯格/米兰德·德·钟,马吉德·马多/乔舒亚·斯特拉多斯基/珍妮·阿里安/塔尼娅·杰丝/娜西米耶·欧拉尔/梅乐蒂·克蕾沃/索妮娅·艾肯/穆罕默德·阿拉哈德/安尼·普拉克/埃琳娜·祖德梅尔/罗斯科·莱金/弗瑞特斯·拉姆布雷希茨/米兰达·炅灵/舒尔德·德拉格斯玛/贝琳达·范·德·斯杜普/贾斯汀·莫伊耶/马尔科姆·雨果·格伦,剧情/爱情/同性,荷兰,荷兰语,2018-03-07(荷兰),80分钟,因为友你(港)/爱在风吹浪起时/只是朋友/朋友牵牵手/牵挂于心/JustFriends,tt7901640
不期而遇,陈卓,右耳/陈卓,张雨绮/张亮/王少雍/冷中易,喜剧/爱情,中国大陆/美国,汉语普通话,2017-05-19(中国大陆),94分钟,ComeAcrossLove,tt7074258
虽说是未成年，但可不是小孩哟,英勉,保木本佳子,中岛健人/平祐奈/知念侑李/山本舞香/村上新悟/生田智子/シルビア・グラブ/高岛政宏,喜剧/爱情,日本,日语,2017-12-23(日本),104分钟,虽是未成年，但不是孩子,tt7027850
“吃吃”的爱,蔡康永,蔡康永,徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦,喜剧/爱情/奇幻,中国大陆/香港/台湾,汉语普通话,2017-05-27(中国大陆/台湾),90分钟,吃吃的爱/吃吃睡睡爱/Didi'sDreams,tt6912580
根西岛文学与土豆皮馅饼俱乐部,迈克·内威尔,唐·罗斯/凯文·胡德/托马斯·伯祖查,莉莉·詹姆斯/米契尔·哈思曼/格伦·鲍威尔/马修·古迪/杰西卡·布朗·芬德利/汤姆·康特奈/佩内洛普·威尔顿,剧情/爱情/历史,英国/美国,英语,2018-04-20(英国),124分钟,真爱收信中(台)/纳粹铁蹄下的密函情书(港)/根基岛的文学和土豆派协会/Guernsey,tt1289403
寻找罗麦,王超,王超,韩庚/杰瑞米·埃尔卡伊姆/菅纫姿/阿丽斯·德·朗克桑/海伦·文森特/雷诺·科恩/胡瑞杰/安迪·吉雷/邓紫衣/罗阜艺/朱宏奇,剧情/爱情,中国大陆/法国,汉语普通话/英语/藏语/法语,2018-04-13(中国大陆),83分钟,寻找麦卡尼/SeekMcCartney/LookingforRohmer,tt3728130
在乎你,毕国智,毕国智/贾佳薇/张莉莉,俞飞鸿/大泽隆夫/木下彩音/卢洋洋/前田公辉/星由里子,爱情,中国大陆/日本,汉语普通话,2019-04-12(中国大陆),120分钟,我只在乎你/WishYouWereHere,
初吻50次,福田雄一,福田雄一/乔治·温,山田孝之/长泽雅美/室毅/胜矢/太贺/山崎纮菜/大和田伸也/佐藤二朗/生越千晴/小宫有纱/青山美琦/樱井由纪/想乃,喜剧/爱情,日本,日语/英语/汉语普通话,2018-06-01(日本),114分钟,日版初恋50次/50次初吻(港)/我们的50次初吻(台)/50次的初吻/初恋50次/50FirstKisses,tt6916872
违命,塞巴斯蒂安·莱里奥,塞巴斯蒂安·莱里奥/丽贝卡·伦科维茨/NaomiAlderman,瑞秋·麦克亚当斯/蕾切尔·薇兹/亚历桑德罗·尼沃拉/安东·莱瑟/尼古拉斯·伍德森/阿兰·柯德勒/拉斯科·阿特金斯/伯娜丝·斯戴杰斯/索菲亚·布朗/CaraHorgan/BernardoSantos/ReneCosta/AdamLazarus/多米尼克·阿普尔怀特/阿丽科西丝·泽格曼,剧情/爱情/同性,美国/英国/爱尔兰,英语/希伯来语,2017-09-10(多伦多电影节)/2018-04-27(美国),114分钟,叛逆性百合(港)/离经叛爱(台),tt6108178
小公女,全高云,全高云,李絮/安在洪/姜臻雅/金国熙/李成旭/崔德门/金在华/曹秀香/金艺恩,剧情/爱情,韩国,韩语,2018-03-22(韩国),106分钟,小公主/Microhabitat,tt8191502
