电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
杀破狼·贪狼,叶伟信,梁礼彦/卓亦谦,古天乐/吴樾/托尼·贾/林家栋/克里斯·柯林斯/郑雪儿/卢惠光/蔡洁/陈汉娜/维他亚·潘斯林加姆/索姆波布·本贾蒂库尔/斯拉潘·瓦塔纳金达,剧情/动作,香港/中国大陆,粤语/泰语/英语,2017-08-17(中国大陆)/2017-08-25(香港),101分钟,Paradox,tt7245176
红海行动,林超贤,冯骥/陈珠珠/林明杰,张译/黄景瑜/海清/杜江/蒋璐霞/尹昉/王强/郭家豪/王雨甜/麦亨利/张涵予/王彦霖,动作/战争,中国大陆/香港,汉语普通话/阿拉伯语/英语/索马里语/粤语,2018-02-16(中国大陆),138分钟,刀锋·红海行动/红海风暴/OperationRedSea,tt6878882
昨日青空,奚超,,苏尚卿/王一博/段艺璇/马斑马/慧明,爱情/动画,中国大陆,汉语普通话,2018-10-26(中国大陆),82分钟,CrystalSkyofYesterday,tt8161726
风语咒,刘阔,于奥/周铁男/舒敦杭,路知行/阎萌萌/褚珺/边江/山新/郭政建/张震/苗壮/王冠南/张博恒/惠龙/王凯/苏俣/白雪岑/赵述仁/刘梓乾/王思琦/刘美奂,动画/奇幻,中国大陆,汉语普通话,2018-08-03(中国大陆),105分钟,画江湖之风语咒/TheWindGuardians,tt9496406
悟空传,郭子健,郭子健/今何在/黄海/范文文/黄智亨,彭于晏/倪妮/余文乐/俞飞鸿/欧豪/郑爽/乔杉/杨迪/巴音/王德顺/李尚恩/张承阳,剧情/动作/奇幻,中国大陆,汉语普通话,2017-07-13(中国大陆),123分钟,Wukong,tt6513406
幕后玩家,任鹏远,任鹏远,徐峥/王丽坤/王砚辉/段博文/任达华/于和伟/朱珠/赵达/谢楠/鲍晓,剧情/悬疑/犯罪,中国大陆,汉语普通话,2018-04-28(中国大陆)/2018-04-15(北京电影节),114分钟,操控者/AorB,tt8366766
廉政风云,麦兆辉,麦兆辉/凌志民/韦浩川,刘青云/张家辉/林嘉欣/袁咏仪/方中信/陈家乐/汤怡/骆应钧/吴岱融/常倩/吴浩康,剧情/悬疑/犯罪,香港/中国大陆,粤语,2019-02-05(中国大陆/香港),114分钟,廉政风云·烟幕/Integrity,tt9575160
心理罪之城市之光,徐纪周,徐纪周/雷米,邓超/阮经天/刘诗诗/文淇/林嘉欣/郭京飞/马苏,动作/悬疑/犯罪,中国大陆/香港,汉语普通话,2017-12-22(中国大陆),124分钟,心理罪·城市之光/城市之光/缉凶者/TheLiquidator,tt7286908
闪光少女,王冉,鲍鲸鲸,徐璐/彭昱畅/刘泳希/鲁照华/韩忠羽/李诺/骆明劼/陈雨锶/乐思宏/崔可法/陆建艺/陈奕迅/汤甄/闫妮/耿乐,喜剧/音乐,中国大陆,汉语普通话,2017-07-20(中国大陆)/2017-06-18(上海电影节),103分钟,OurShiningDays,tt7013194
宝贝儿,刘杰,刘杰,杨幂/郭京飞/李鸿其,剧情,中国大陆,汉语普通话,2018-10-19(中国大陆)/2018-09-09(多伦多电影节),96分钟,宝贝/Baby,tt8846198
