:START_ID,:END_ID,relation,:TYPE
10171,30018,类型,类型
10171,30015,类型,类型
10172,30024,类型,类型
10172,30026,类型,类型
10172,30029,类型,类型
10173,30002,类型,类型
10173,30009,类型,类型
10173,30029,类型,类型
10174,30002,类型,类型
10174,30006,类型,类型
10175,30024,类型,类型
10175,30015,类型,类型
10175,30001,类型,类型
10176,30002,类型,类型
10176,30024,类型,类型
10176,30010,类型,类型
10177,30024,类型,类型
10177,30015,类型,类型
10177,30022,类型,类型
10178,30002,类型,类型
10178,30016,类型,类型
10179,30007,类型,类型
10179,30013,类型,类型
10180,30006,类型,类型
10181,30002,类型,类型
10181,30003,类型,类型
10182,30002,类型,类型
10183,30002,类型,类型
10183,30018,类型,类型
10183,30004,类型,类型
10184,30024,类型,类型
10184,30009,类型,类型
10184,30001,类型,类型
10185,30002,类型,类型
10185,30012,类型,类型
10185,30014,类型,类型
10185,30003,类型,类型
10189,30002,类型,类型
10189,30016,类型,类型
10189,30006,类型,类型
10190,30016,类型,类型
10190,30013,类型,类型
10191,30016,类型,类型
10191,30006,类型,类型
10192,30002,类型,类型
10193,30004,类型,类型
10194,30002,类型,类型
10194,30008,类型,类型
10195,30016,类型,类型
10195,30015,类型,类型
10195,30013,类型,类型
10196,30018,类型,类型
10197,30006,类型,类型
10197,30009,类型,类型
10198,30002,类型,类型
10198,30011,类型,类型
10199,30002,类型,类型
10199,30011,类型,类型
10200,30016,类型,类型
10201,30002,类型,类型
10201,30006,类型,类型
10201,30027,类型,类型
10202,30018,类型,类型
10202,30026,类型,类型
10202,30029,类型,类型
10203,30016,类型,类型
10203,30018,类型,类型
10204,30002,类型,类型
10204,30006,类型,类型
10205,30016,类型,类型
10205,30006,类型,类型
10206,30002,类型,类型
10206,30015,类型,类型
10207,30016,类型,类型
10207,30006,类型,类型
10208,30002,类型,类型
10208,30015,类型,类型
10208,30004,类型,类型
10209,30002,类型,类型
10209,30006,类型,类型
10210,30002,类型,类型
10210,30003,类型,类型
10211,30002,类型,类型
10211,30003,类型,类型
10211,30021,类型,类型
10211,30022,类型,类型
10212,30016,类型,类型
10212,30018,类型,类型
10212,30026,类型,类型
10213,30002,类型,类型
10213,30024,类型,类型
10213,30004,类型,类型
10214,30002,类型,类型
10215,30002,类型,类型
10215,30006,类型,类型
10216,30002,类型,类型
10216,30027,类型,类型
10217,30016,类型,类型
10217,30006,类型,类型
10218,30016,类型,类型
10218,30006,类型,类型
10218,30015,类型,类型
10218,30009,类型,类型
10219,30006,类型,类型
10219,30015,类型,类型
10220,30002,类型,类型
10220,30006,类型,类型
10220,30010,类型,类型
10221,30015,类型,类型
10221,30004,类型,类型
10222,30016,类型,类型
10222,30006,类型,类型
10223,30002,类型,类型
10223,30024,类型,类型
10223,30004,类型,类型
10224,30002,类型,类型
10225,30002,类型,类型
10225,30015,类型,类型
10225,30004,类型,类型
10226,30016,类型,类型
10226,30024,类型,类型
10226,30015,类型,类型
10227,30002,类型,类型
10228,30002,类型,类型
10228,30024,类型,类型
10228,30015,类型,类型
10228,30004,类型,类型
10229,30002,类型,类型
10229,30024,类型,类型
10229,30004,类型,类型
10230,30002,类型,类型
10230,30016,类型,类型
10231,30002,类型,类型
10232,30002,类型,类型
10233,30026,类型,类型
10233,30012,类型,类型
10233,30014,类型,类型
10233,30003,类型,类型
10234,30016,类型,类型
10235,30002,类型,类型
10235,30029,类型,类型
10236,30016,类型,类型
10236,30026,类型,类型
10236,30014,类型,类型
10236,30029,类型,类型
10237,30006,类型,类型
10238,30002,类型,类型
10239,30016,类型,类型
10239,30006,类型,类型
10240,30024,类型,类型
10240,30004,类型,类型
10241,30016,类型,类型
10241,30024,类型,类型
10242,30024,类型,类型
10242,30029,类型,类型
10243,30002,类型,类型
10243,30011,类型,类型
10244,30016,类型,类型
10244,30013,类型,类型
10245,30016,类型,类型
10245,30009,类型,类型
10246,30002,类型,类型
10246,30021,类型,类型
10246,30010,类型,类型
10247,30024,类型,类型
10247,30015,类型,类型
10247,30004,类型,类型
10248,30016,类型,类型
10248,30006,类型,类型
10249,30002,类型,类型
10249,30006,类型,类型
10249,30014,类型,类型
10250,30002,类型,类型
10251,30002,类型,类型
10252,30016,类型,类型
10252,30026,类型,类型
10252,30009,类型,类型
10252,30029,类型,类型
10253,30002,类型,类型
10254,30002,类型,类型
10254,30024,类型,类型
10254,30004,类型,类型
10255,30024,类型,类型
10255,30004,类型,类型
10256,30002,类型,类型
10256,30016,类型,类型
10256,30004,类型,类型
10257,30002,类型,类型
10258,30002,类型,类型
10258,30016,类型,类型
10258,30011,类型,类型
10259,30024,类型,类型
10259,30004,类型,类型
10260,30016,类型,类型
10261,30006,类型,类型
10261,30004,类型,类型
10262,30016,类型,类型
10262,30009,类型,类型
10263,30002,类型,类型
10263,30015,类型,类型
10263,30009,类型,类型
10263,30022,类型,类型
10264,30016,类型,类型
10264,30009,类型,类型
10265,30002,类型,类型
10265,30015,类型,类型
10265,30004,类型,类型
10266,30016,类型,类型
10266,30006,类型,类型
10266,30009,类型,类型
10267,30002,类型,类型
10268,30002,类型,类型
10268,30015,类型,类型
10268,30004,类型,类型
10269,30002,类型,类型
10269,30014,类型,类型
10269,30003,类型,类型
10270,30002,类型,类型
10270,30013,类型,类型
10271,30015,类型,类型
10271,30007,类型,类型
10271,30013,类型,类型
10272,30018,类型,类型
10272,30013,类型,类型
10273,30013,类型,类型
10273,30004,类型,类型
10274,30015,类型,类型
10274,30013,类型,类型
10275,30015,类型,类型
10275,30007,类型,类型
10275,30013,类型,类型
10276,30002,类型,类型
10276,30013,类型,类型
10276,30003,类型,类型
10277,30015,类型,类型
10277,30007,类型,类型
